Gen_Conv_Coal_EP,Gen_VRES_Solar_elec,Demand_GC_Elec_01_elec,Gen_Conv_Coal_H2_GC,Gen_VRES_Wind_H2_GC,Offtaker_Grey_elec,Gen_Conv_Coal_H2,jy,Cons_Elec_01_H2,Offtaker_Green_H2_GC,Gen_Conv_Coal_elec_GC,Demand_GC_Elec_01_elec_GC,Offtaker_Import_EP,Gen_Conv_CCGT_EP,Gen_Conv_CCGT_H2_GC,Gen_VRES_Wind_elec,Gen_VRES_Solar_elec_GC,Gen_Conv_Biomass_EP,Demand_GC_Elec_01_EP,Offtaker_Grey_H2_GC,Offtaker_Green_EP,Gen_Conv_Biomass_elec,Offtaker_Import_H2_GC,Gen_VRES_Wind_EP,Gen_VRES_Wind_elec_GC,Demand_GC_Elec_01_H2,Prod_H2_Green_H2,Cons_Elec_01_EP,Offtaker_Grey_elec_GC,Gen_VRES_Solar_H2_GC,Offtaker_Import_elec,Demand_GC_Elec_01_H2_GC,Time,Gen_VRES_Solar_H2,Gen_Conv_CCGT_elec_GC,jd,Gen_VRES_Wind_H2,Prod_H2_Green_H2_GC,Gen_Conv_Biomass_H2_GC,Gen_Conv_CCGT_H2,Offtaker_Green_H2,Offtaker_Grey_EP,Offtaker_Green_elec,Offtaker_Grey_H2,Gen_Conv_Biomass_H2,Offtaker_Green_elec_GC,Offtaker_Import_elec_GC,Cons_Elec_01_elec,Cons_Elec_01_H2_GC,Prod_H2_Green_elec_GC,Gen_Conv_Coal_elec,Gen_Conv_Biomass_elec_GC,jh,Offtaker_Import_H2,Gen_VRES_Solar_EP,Cons_Elec_01_elec_GC,Prod_H2_Green_EP,Prod_H2_Green_elec,Gen_Conv_CCGT_elec
0.0,1.000003768767456e-8,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.7840323481916,0.0,-4822.841142292067,-9.999699745084755e-9,0.0,0.0,4822.841142272082,1.000003768767456e-8,0.0,0.0,-571.7677264051234,759.4138190574865,-9.994613865623572e-9,0.0,0.0,4822.841142272082,0.0,1012.5517587433154,0.0,0.0,0.0,0.0,0.0,154,0.0,0.0,7,0.0,1012.551758753315,0.0,0.0,-1012.5517587433154,1013.586180952513,0.0,0.0,0.0,0.0,0.0,-14241.4546,0.0,9.984835370197177e-9,-9.983042716005609e-9,0.0,10,0.0,0.0,0.0,0.0,-1518.827638114973,10937.441095852868
0.0,1.0000037629005848e-8,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.7702893252188,0.0,-4256.067174472407,-9.999699745084755e-9,0.0,0.0,4256.067174452421,1.0000037629005848e-8,0.0,0.0,-571.7814694280961,759.4138190574865,-9.994613865623572e-9,0.0,0.0,4256.067174452421,0.0,1012.5517587433154,0.0,0.0,0.0,0.0,0.0,155,0.0,0.0,7,0.0,1012.551758753315,0.0,0.0,-1012.5517587433154,1013.586180952513,0.0,0.0,0.0,0.0,0.0,-13901.004099999998,0.0,9.98649067210365e-9,-9.983042716005609e-9,0.0,11,0.0,0.0,0.0,0.0,-1518.827638114973,11163.764563672528
0.0,456.7737690098231,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.7847189072267,0.0,-4192.2985810818445,-9.999699745084755e-9,0.0,0.0,3735.524812062035,456.7737690098231,0.0,0.0,-571.7670398460883,759.4138190574865,-9.994613865623572e-9,0.0,0.0,3735.524812062035,0.0,1012.5517587433154,0.0,0.0,0.0,0.0,0.0,156,0.0,0.0,7,0.0,1012.551758753315,0.0,0.0,-1012.5517587433154,1013.5861809525131,0.0,0.0,0.0,0.0,0.0,-13417.4821,0.0,9.98665457057316e-9,-9.983042716005609e-9,0.0,12,0.0,0.0,0.0,0.0,-1518.827638114973,10744.011157063092
0.0,1370.29542600947,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.77032988939584,0.0,-3993.8766339535105,-9.999699745084755e-9,0.0,0.0,2623.5812079340535,1370.29542600947,0.0,0.0,-571.7814288639191,759.4138190574865,-9.994613865623572e-9,0.0,0.0,2623.5812079340535,0.0,1012.5517587433154,0.0,0.0,0.0,0.0,0.0,157,0.0,0.0,7,0.0,1012.551758753315,0.0,0.0,-1012.5517587433154,1013.5861809525131,0.0,0.0,0.0,0.0,0.0,-12947.9221,0.0,9.987140041893502e-9,-9.983042716005609e-9,0.0,13,0.0,0.0,0.0,0.0,-1518.827638114973,10472.873104191427
0.0,2245.772013009132,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.7840914236282,0.0,-5562.217167227657,-9.999699745084755e-9,0.0,0.0,3316.445154208542,2245.772013009132,0.0,0.0,-571.7676673296869,759.4138190574865,-9.994613865623572e-9,0.0,0.0,3316.445154208542,0.0,1012.5517587433154,0.0,0.0,0.0,0.0,0.0,158,0.0,0.0,7,0.0,1012.551758753315,0.0,0.0,-1012.5517587433154,1013.5861809525131,0.0,0.0,0.0,0.0,0.0,-12676.9501,0.0,9.981950200804405e-9,-9.983042716005609e-9,0.0,14,0.0,0.0,0.0,0.0,-1518.827638114973,8633.560570917278
0.0,4605.73099800822,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.77043423528886,0.0,-7588.9452853788225,-9.999699745084755e-9,0.0,0.0,2983.214287360641,4605.73099800822,0.0,0.0,-571.781324518026,759.4138190574865,-9.994613865623572e-9,0.0,0.0,2983.214287360641,0.0,1012.5517587433154,0.0,0.0,0.0,0.0,0.0,159,0.0,0.0,7,0.0,1012.551758753315,0.0,0.0,-1012.5517587433154,1013.5861809525131,0.0,0.0,0.0,0.0,0.0,-12788.1976,0.0,9.962276921317421e-9,-9.983042716005609e-9,0.0,15,0.0,0.0,0.0,0.0,-1518.827638114973,6718.079952766089
0.0,3844.467264008514,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.78413894135366,0.0,-6138.547749633882,-9.999699745084755e-9,0.0,0.0,2294.080485615389,3844.467264008514,0.0,0.0,-571.7676198119613,759.4138190574865,-9.994613865623572e-9,0.0,0.0,2294.080485615389,0.0,1012.5517587433154,0.0,0.0,0.0,0.0,0.0,160,0.0,0.0,7,0.0,1012.551758753315,0.0,0.0,-1012.5517587433154,1013.586180952513,0.0,0.0,0.0,0.0,0.0,-13366.606600000001,0.0,9.978807287922764e-9,-9.983042716005609e-9,0.0,16,0.0,0.0,0.0,0.0,-1518.827638114973,8746.886488511049
0.0,2626.4038800089847,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.770401258072,0.0,-5503.718116190834,-9.999699745084755e-9,0.0,0.0,2877.314236171867,2626.4038800089847,0.0,0.0,-571.781357495243,759.4138190574865,-9.994613865623572e-9,0.0,0.0,2877.314236171867,0.0,1012.5517587433154,0.0,0.0,0.0,0.0,0.0,161,0.0,0.0,7,0.0,1012.551758753315,0.0,0.0,-1012.5517587433154,1013.5861809525131,0.0,0.0,0.0,0.0,0.0,-14326.5136,0.0,9.982217875068721e-9,-9.983042716005609e-9,0.0,17,0.0,0.0,0.0,0.0,-1518.827638114973,10341.623121954099
0.0,837.4056360096762,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.7703469481671,0.0,-3662.7197161148124,-9.999699745084755e-9,0.0,0.0,2825.3140800951483,837.4056360096762,0.0,0.0,-571.7814118051479,759.4138190574865,-9.994613865623572e-9,0.0,0.0,2825.3140800951483,0.0,1012.5517587433154,0.0,0.0,0.0,0.0,0.0,162,0.0,0.0,7,0.0,1012.551758753315,0.0,0.0,-1012.5517587433154,1013.5861809525131,0.0,0.0,0.0,0.0,0.0,-15439.7686,0.0,9.987876108621765e-9,-9.983042716005602e-9,0.0,18,0.0,0.0,0.0,0.0,-1518.827638114973,13295.876522030125
0.0,76.11602100997021,0.0,0.0,0.0,0.0,0.0,1,0.0,-334.6335343427118,0.0,-2749.201377539049,-9.999699745084755e-9,0.0,0.0,2673.0853565190896,76.11602100997021,0.0,0.0,-510.2066393128096,633.6301302341415,-9.992106729817818e-9,0.0,0.0,2673.0853565190896,0.0,844.8401736455219,0.0,0.0,0.0,0.0,0.0,163,0.0,0.0,7,0.0,844.8401736555214,0.0,0.0,-844.8401736455219,1139.3698697758582,0.0,0.0,0.0,0.0,0.0,-16343.554599999998,0.0,9.989529344897174e-9,821.613382949231,0.0,19,0.0,0.0,0.0,0.0,-1267.260260468283,14040.000099999983
