Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_CCGT_g,Gen_Conv_Coal_g,Gen_Conv_Biomass_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Prod_H2_Green_e_in,Prod_H2_Green_q_elec_gc,Prod_H2_Green_h2_out,Prod_H2_Green_q_h2gc,Offtaker_Green_h2_in,Offtaker_Green_q_h2gc,Offtaker_Green_ep,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_CCGT_obj,Gen_Conv_Coal_obj,Gen_Conv_Biomass_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Prod_H2_Green_obj,Offtaker_Green_obj,Offtaker_Grey_obj,Offtaker_Import_obj
2235,3,6,12,23.63956817543227,201.9511448275862,144.0381899999994,8.454160160198743,169.99299939997925,299.24699966398833,1.0000021996325118e-8,3091.679679582533,5509.398268930423,1800.0000179999997,2160.0000216,11101.213600000001,3091.679679602524,1459.8643881229539,-9.991104874728011e-9,973.2429254153026,973.2429254253024,973.2429254153026,412.14136372412406,729.9321940614769,1043.067805928523,561.1015617011783,1.0000044195912256e-8,-2.1040576780213447e-6,-650505.8059071001,0.0,-209794.31707331256,-242155.52788072042,-3.1546578252633996e6,-2389.6208103167774,-7887.620194366435,574.463301074924,-3912.628506517387,-4.924721731559596e-7
2236,4,6,12,23.63956817543227,201.9511448275862,144.03818999999936,8.587342959942434,169.99299939997925,299.24699966398833,1.0000021990539478e-8,2825.3140800951487,6172.489950529395,1800.0000179999997,2160.0000216,11497.9606,2825.3140801151403,1459.8434702345426,-9.991476904624752e-9,973.2289801563617,973.2289801663615,973.2289801563617,412.12329009073983,729.9217351172713,1043.0782648727288,561.1056900756216,1.0000044195912256e-8,-2.105389507730214e-6,-594837.3539480452,0.0,-209794.31707331256,-242155.52788072042,-3.261700121198579e6,-1995.5999128242038,-7887.507175404928,572.386560411629,-3912.922362248937,-4.924721731559596e-7
2237,5,6,12,23.63956817543227,201.9511448275862,144.0381899999994,8.712649469379041,169.99299939997925,299.24699966398833,1.0000021985102352e-8,2574.7010612219383,6924.772935392491,1800.0000179999997,2160.0000216,11999.695600000001,2574.70106124193,1459.7784362244265,-9.99179959539654e-9,973.1856241496176,973.1856241596175,973.1856241496176,412.2796841959329,729.8892181122133,1043.1107818777866,560.9059399636847,1.0000044195912256e-8,-2.106642574434732e-6,-542396.2947374366,0.0,-209794.31707331256,-242155.52788072042,-3.396504667881627e6,-1657.2713886900601,-7887.155797856685,602.067954845872,-3949.9739743114915,-4.924721731559596e-7
2238,6,6,12,23.63956817543227,201.9511448275862,144.0381899999994,8.89735402376355,169.99299939997925,299.24699966398833,1.0000021977099128e-8,2205.2919524529275,7833.663128695321,1800.0000179999997,2160.0000216,12539.2606,2205.29195247292,1459.6945207582476,-9.992233050055808e-9,973.1296805054983,973.1296805154981,973.1296805054983,412.20776567970165,729.8472603791238,1043.1527396108763,560.9219148357964,1.0000044195912256e-8,-2.1084896223518575e-6,-464982.4977036619,0.0,-209794.31707331256,-242155.52788072042,-3.5407709460451636e6,-1215.8281489104374,-7886.702404152224,593.8365222610009,-3951.2525695879594,-4.924721731559596e-7
2239,7,6,12,23.63956817543227,201.9511448275862,144.0381899999994,8.341777422885738,169.99299939997925,299.24699966398833,1.0000022001212604e-8,3316.4451542085426,7199.27499936718,1800.0000179999997,2160.0000216,13015.9771,3316.4451542285337,1459.7430931857214,-9.990764715515765e-9,973.1620621238142,973.1620621338141,973.1620621238142,412.16618154873663,729.8715465928607,1043.1284533971395,560.9958805850774,1.0000044195912256e-8,-2.102933849204011e-6,-697424.9429619315,0.0,-209794.31707331256,-242155.52788072042,-3.6676274987706984e6,-2749.702115251468,-7886.964840070868,584.4555587731884,-3936.366957677121,-4.924721731559596e-7
2240,8,6,12,23.63956817543227,201.9511448275862,144.0381899999994,7.972222713679713,169.99299939997925,299.24699966398833,1.0000022017319526e-8,4055.554572620593,6801.175363565218,1800.0000179999997,2160.0000216,13356.954099999999,4055.5545726405826,1459.7758757958104,-9.989436330009224e-9,973.1839171972068,973.1839172072067,973.1839171972068,412.2551684798363,729.8879378979051,1043.112062092095,560.9287487273704,1.0000044195912256e-8,-2.0992382973625183e-6,-851355.6731318943,0.0,-209794.31707331256,-242155.52788072042,-3.7580145995585956e6,-4111.880722916467,-7887.141963900911,598.0223261174397,-3946.218515543267,-4.924721731559596e-7
2241,9,6,12,23.63956817543227,201.9511448275862,144.0381899999994,8.069282738335444,169.99299939997925,299.24699966398833,1.0000022013083973e-8,3861.43452330913,7098.263695531197,1800.0000179999997,2160.0000216,13459.9531,3861.4345233291197,1459.7451584503258,-9.989820873972818e-9,973.1634389668837,973.1634389768836,973.1634389668837,412.15383894461644,729.8725792251629,1043.127420764837,561.0096000322671,1.0000044195912256e-8,-2.1002088988565245e-6,-810980.1296031943,0.0,-209794.31707331256,-242155.52788072042,-3.785260690311633e6,-3727.6691444894823,-7886.97599865435,582.2590999314561,-3933.936445152329,-4.924721731559596e-7
2242,10,6,12,23.63956817543227,201.9511448275862,144.03818999999936,8.581306693855653,169.99299939997925,299.24699966398833,114.18697200995575,2723.19964026876,8001.449259569719,1800.0000179999997,2160.0000216,13339.1311,2837.386612288707,1459.7048114484344,-9.991460717586786e-9,973.1365409656229,973.1365409756227,973.1365409656229,412.2484338887013,729.8524057242172,1043.1475942657826,560.8881070869213,1.0000044195912256e-8,-24040.06314906625,-573321.8962480907,0.0,-209794.31707331256,-242155.52788072042,-3.7532972302210066e6,-2012.690696898775,-7886.7580045571085,600.2600164076139,-3956.509833540709,-4.924721731559596e-7
2243,11,6,12,23.63956817543227,201.9511448275862,144.03818999999936,8.342416167587222,169.99299939997925,299.24699966398833,1065.779580009588,2249.388084805985,7153.917684667437,1800.0000179999997,2160.0000216,12969.3136,3315.167664825564,1459.7717890830097,-9.990766722360474e-9,973.1811927220065,973.1811927320063,973.1811927220065,412.29962797247094,729.8858945415047,1043.1141054484951,560.8815647595353,1.0000044195912256e-8,-224126.5831161566,-473031.8304139637,0.0,-209794.31707331256,-242155.52788072042,-3.6552352017830857e6,-2747.584161476232,-7887.119883471256,605.7746481408831,-3954.433979277732,-4.924721731559596e-7
2244,12,6,12,23.63956817543227,201.95114482758615,144.0381899999994,5.972415447186415,169.99299939997925,299.24699966398833,3083.1776490088087,4971.991456608399,1901.1584093490974,1800.0000179999997,2160.0000216,12455.820099999999,8055.169105627159,1460.5074545663047,-9.952337555248489e-9,973.6716363775364,973.6716363875362,973.6716363775364,411.87173653598035,730.2537272831523,1042.7462727068475,561.7998998515559,1.0000044195912256e-8,-641065.2737415147,-1.0337941653137708e6,1.1641532182693481e-10,-209794.31707331244,-242155.5278807203,-3.518508603084087e6,-16221.43733006261,-7891.094670398976,498.0198644573393,-3763.307207554055,-4.924721731559596e-7
