Time,SOLAR,LOAD_E,LOAD_H,LOAD_EP,WIND
89,0.395627,0.667575,0.8,0.9,0.050475
90,0.292675,0.717376,0.8,0.9,0.064896
91,0.185312,0.757944,0.8,0.9,0.075894
92,0.094127,0.779608,0.8,0.9,0.083877
93,0.005883,0.773841,0.8,0.9,0.090218
94,0.0,0.735955,0.8,0.9,0.094618
95,0.0,0.684271,0.8,0.9,0.132259
96,0.0,0.631659,0.8,0.9,0.162215
97,0.0,0.570726,0.8,0.9,0.002155
98,0.0,0.581996,0.8,0.9,0.002535
99,0.0,0.598971,0.8,0.9,0.009013
100,0.0,0.619866,0.8,0.9,0.015174
101,0.0,0.644543,0.8,0.9,0.019487
102,0.0,0.674185,0.8,0.9,0.019487
103,0.0,0.699885,0.8,0.9,0.024548
104,0.0,0.715567,0.8,0.9,0.030417
105,0.0,0.720472,0.8,0.9,0.050475
106,0.008824,0.709971,0.8,0.9,0.083877
107,0.044122,0.689057,0.8,0.9,0.081831
108,0.1206,0.66256,0.8,0.9,0.051959
109,0.219139,0.636311,0.8,0.9,0.015844
110,0.283851,0.622987,0.8,0.9,0.02192
111,0.400039,0.627233,0.8,0.9,0.053472
112,0.329444,0.654334,0.8,0.9,0.047591
113,0.332385,0.700654,0.8,0.9,0.044819
114,0.227963,0.755846,0.8,0.9,0.038366
115,0.102951,0.803965,0.8,0.9,0.033674
116,0.010295,0.827441,0.8,0.9,0.027378
117,0.0,0.816225,0.8,0.9,0.005774
118,0.0,0.776034,0.8,0.9,8.0e-5
119,0.0,0.721994,0.8,0.9,0.0
120,0.0,0.671286,0.8,0.9,0.0
121,0.0,0.559581,0.8,0.9,0.101483
122,0.0,0.572289,0.8,0.9,0.226938
123,0.0,0.588436,0.8,0.9,0.155896
124,0.0,0.610076,0.8,0.9,0.14082
125,0.0,0.637931,0.8,0.9,0.152799
126,0.0,0.66727,0.8,0.9,0.162215
127,0.0,0.695326,0.8,0.9,0.162215
128,0.0,0.714924,0.8,0.9,0.168703
129,0.0,0.722546,0.8,0.9,0.162215
130,0.001471,0.718786,0.8,0.9,0.149743
131,0.073537,0.697609,0.8,0.9,0.168703
132,0.192666,0.666929,0.8,0.9,0.178756
133,0.276497,0.637367,0.8,0.9,0.165438
134,0.351505,0.621551,0.8,0.9,0.103843
135,0.276497,0.624514,0.8,0.9,0.162215
136,0.175017,0.652776,0.8,0.9,0.066649
137,0.057359,0.701063,0.8,0.9,0.239166
138,0.045593,0.753362,0.8,0.9,0.403797
139,0.029415,0.794389,0.8,0.9,0.478554
140,0.0,0.809016,0.8,0.9,0.547477
141,0.0,0.789721,0.8,0.9,0.505383
142,0.0,0.744521,0.8,0.9,0.540305
143,0.0,0.687616,0.8,0.9,0.459068
144,0.0,0.632963,0.8,0.9,0.427779
145,0.0,0.563542,0.8,0.9,0.591846
146,0.0,0.575261,0.8,0.9,0.671013
147,0.0,0.5938,0.8,0.9,0.614903
148,0.0,0.61922,0.8,0.9,0.533196
149,0.0,0.648126,0.8,0.9,0.48517
150,0.0,0.679242,0.8,0.9,0.519165
151,0.0,0.709174,0.8,0.9,0.48517
152,0.0,0.731265,0.8,0.9,0.446375
153,0.0,0.740475,0.8,0.9,0.369531
154,0.0,0.730331,0.8,0.9,0.3478
155,0.0,0.712872,0.8,0.9,0.306927
156,0.017649,0.688076,0.8,0.9,0.269388
157,0.052946,0.663996,0.8,0.9,0.1892
158,0.086773,0.6501,0.8,0.9,0.239166
159,0.177958,0.655805,0.8,0.9,0.215135
160,0.148544,0.685467,0.8,0.9,0.165438
161,0.10148,0.734693,0.8,0.9,0.207498
162,0.032356,0.791783,0.8,0.9,0.203748
163,0.002941,0.838131,0.8,0.9,0.19277
164,0.0,0.856861,0.8,0.9,0.1892
165,0.0,0.841278,0.8,0.9,0.230967
166,0.0,0.793126,0.8,0.9,0.278468
167,0.0,0.732455,0.8,0.9,0.302055
168,0.0,0.673551,0.8,0.9,0.403797
169,0.0,0.574634,0.8,0.9,0.869373
170,0.0,0.586001,0.8,0.9,0.859605
171,0.0,0.605423,0.8,0.9,0.802529
172,0.0,0.630086,0.8,0.9,0.748037
173,0.0,0.660731,0.8,0.9,0.869373
174,0.0,0.693083,0.8,0.9,0.899121
175,0.0,0.723573,0.8,0.9,0.971155
176,0.0,0.744659,0.8,0.9,1.0
177,0.0,0.752588,0.8,0.9,1.0
178,0.0,0.745833,0.8,0.9,1.0
179,0.0,0.730038,0.8,0.9,1.0
180,0.051476,0.70532,0.8,0.9,1.0
181,0.164722,0.678767,0.8,0.9,1.0
182,0.245612,0.663987,0.8,0.9,1.0
183,0.288263,0.669205,0.8,0.9,1.0
184,0.173546,0.698136,0.8,0.9,1.0
185,0.102951,0.745413,0.8,0.9,1.0
186,0.050005,0.800259,0.8,0.9,1.0
187,0.002941,0.84467,0.8,0.9,1.0
188,0.0,0.860252,0.8,0.9,1.0
189,0.0,0.838989,0.8,0.9,1.0
190,0.0,0.784924,0.8,0.9,1.0
191,0.0,0.720022,0.8,0.9,1.0
192,0.0,0.66149,0.8,0.9,1.0
