Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_CCGT_g,Gen_Conv_Coal_g,Gen_Conv_Biomass_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Prod_H2_Green_e_in,Prod_H2_Green_q_elec_gc,Prod_H2_Green_h2_out,Prod_H2_Green_q_h2gc,Offtaker_Green_h2_in,Offtaker_Green_q_h2gc,Offtaker_Green_ep,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_CCGT_obj,Gen_Conv_Coal_obj,Gen_Conv_Biomass_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Prod_H2_Green_obj,Offtaker_Green_obj,Offtaker_Grey_obj,Offtaker_Import_obj
1810,10,4,10,128.75732931878443,83.33045517241379,55.28619000000002,7.596060274727435,80.18858005353935,130.62052482998206,4187.028180008382,620.8512705267445,9460.223622852378,-9.999499326240251e-9,-9.99984097122218e-9,13305.6886,4807.879450545127,962.4144733675045,-9.999603241788886e-9,641.6096489116696,641.6096489216696,641.6096489116696,93.67269372322959,481.2072366837522,1291.7927633262477,547.93695519844,-9.999991325650369e-9,-380711.88248714776,-56451.842639927294,0.0,-2.0681888926582804e-8,-6.511546536768547e-8,-5.32277352617939e6,-5778.9262027435325,-4798.654574350352,-14097.421712392344,-14070.44895593627,-1.1937937161608731e-6
1811,11,4,10,128.75732931878443,83.33045517241379,55.28619000000002,5.975874073200591,80.18858005353935,130.62052482998206,7536.676605007087,511.5752485817292,5740.767143077645,-9.999499326240251e-9,-9.99984097122218e-9,12813.7621,8048.251853598816,975.2568966464629,-9.998953805672339e-9,650.1712644309753,650.1712644409753,650.1712644309753,94.26836595177204,487.6284483232314,1285.3715516867685,555.9028984892033,-9.999991325650369e-9,-673072.9223044822,-45686.907583746935,0.0,-2.0681888926582804e-8,-6.511546536768547e-8,-5.13386379779173e6,-16193.589474739209,-4862.687644188569,-14338.003994620325,-13143.322882250824,-1.1937937161608731e-6
1812,12,4,10,128.75732931878443,83.33045517241379,55.28619000000002,4.986058196612456,80.18858005353935,130.62052482998206,10772.112177005838,478.2136269786076,2000.7535597951594,-9.999499326240251e-9,-9.99984097122218e-9,12247.9501,10027.883606775084,1003.1292637596048,1222.4421972093614,668.7528425064032,668.7528425164032,668.7528425064032,95.4837019558351,501.5646318798024,1271.4353681301975,573.2691405605681,-9.999991325650369e-9,-951355.3890931866,-42234.160180306724,0.0,-2.0681888926582804e-8,-6.511546536768547e-8,-4.915832441172876e6,-25139.612407757137,1093.5070486483964,-14866.360677796038,-11124.935838052595,-1.1937937161608731e-6
1813,13,4,10,128.75732931878443,83.33045517241376,55.28618999999999,4.986058196612456,80.18858005353934,130.62052482998203,13703.031903004707,415.92644638990146,35.04085111655815,-9.999499326240251e-9,-9.99984097122218e-9,11748.9061,10027.883606775084,2405.0931004911663,4091.074742619523,1603.395400327444,1603.395400337444,1603.395400327444,944.3191419787908,1202.5465502455831,570.453449764417,659.0762583586533,-9.999991325650369e-9,-1.210204000257908e6,-36733.173563125296,9.094947017729282e-13,-2.0681888926583122e-8,-6.511546536768578e-8,-4.72286536372578e6,-25139.612407757137,8406.402585270349,21722.530937669508,27233.832115759127,-1.1937937161608736e-6
1814,14,4,10,128.75732931878443,-4.986058196612455,33.0011315142958,4.986058196612456,80.18858005353934,130.62052482998203,13996.025790800122,26.116651663016878,-9.999988274675754e-9,-9.999988542988547e-9,-9.999989079829054e-9,11456.0941,10027.883606775078,2566.048342433139,3994.258835688061,1710.6988949554259,1710.698894965426,1710.6988949554259,1151.8789922319881,1283.0241712165694,489.97582879343054,558.8199027334377,-9.999991325650369e-9,-1.4551915228366852e-11,-2.842170943040401e-14,-8.831640981505069e-7,-9.038470226168453e-7,-9.48280599057948e-7,-5.6211151868534e6,-25139.612407757144,-181380.27717897296,-3370.46056489271,22808.31356181063,-1.1937937161608736e-6
1815,15,4,10,128.75732931878443,-4.986058196612455,33.00125157718329,4.986058196612456,80.18858005353934,130.62052482998203,14210.663478836457,72.75946362668076,-9.999988274675754e-9,-9.999988542988547e-9,-9.999989079829054e-9,11717.3746,10027.883606775084,2566.0483424331387,4255.539335688052,1710.6988949554259,1710.698894965426,1710.6988949554259,1151.864133124602,1283.0241712165694,489.97582879343037,558.834761840824,-9.999991325650369e-9,-1.4551915228366852e-11,-5.684341886080802e-14,-8.831640981505069e-7,-9.038470226168453e-7,-9.48280599057948e-7,-5.745489727271201e6,-25139.612407757137,-180077.72279178194,-3371.4467041659227,22809.50509253279,-1.1937937161608736e-6
1816,16,4,10,128.75732931878443,83.33045517241379,55.28619000000002,4.986058196612456,80.18858005353935,130.62052482998206,11038.557072005735,723.0022466922226,1398.8189034407537,-9.999499326240251e-9,-9.99984097122218e-9,12139.1791,10027.883606775084,1021.1991221187117,1733.675711922872,680.7994147458077,680.7994147558077,680.7994147458077,96.33078792499808,510.5995610593558,1262.400438950644,584.4686268308096,-9.999991325650369e-9,-974886.8732245537,-63853.03758582968,0.0,-2.0681888926582804e-8,-6.511546536768547e-8,-4.873826643650202e6,-25139.612407757137,3552.4497396856605,-15204.153016149488,-9821.145977308915,-1.1937937161608731e-6
1817,17,4,10,128.75732931878443,83.33045517241378,55.28618999999999,4.986058196612456,80.18858005353935,130.62052482998203,12561.110421005147,1804.4140456790196,139.78600696989838,-9.999499326240251e-9,-9.99984097122218e-9,12921.460599999999,10027.883606775087,1583.8498736340664,4337.640859909077,1055.8999157560443,1055.8999157660442,1055.8999157560443,134.11870756267257,791.9249368170332,981.0750631929668,921.7812082033716,-9.999991325650369e-9,-1.109353476426516e6,-159359.55718846983,1.8189894035458565e-12,-2.068188892658291e-8,-6.511546536768557e-8,-5.175273926662898e6,-25139.612407757144,13730.56211807215,-24807.079549647577,29860.557109571295,-1.1937937161608736e-6
1818,18,4,10,128.75732931878443,83.33045517241378,55.28619000000002,4.986058196612456,80.18858005353935,130.62052482998206,12408.852498005206,1541.7292555426009,1007.1371279295048,-9.999499326240251e-9,-9.99984097122218e-9,13913.0746,10027.883606775087,1044.6442814573118,3922.6981467727187,696.429520971541,696.429520981541,696.429520971541,97.28990649834697,522.3221407286559,1250.6778592813441,599.139614483194,-9.999991325650369e-9,-1.0959065875343513e6,-136160.15240854697,1.4551915228366852e-11,-2.068188892658291e-8,-6.511546536768557e-8,-5.555187404702795e6,-25139.612407757144,14350.14406464617,-15653.652189867244,-8118.290779263625,-1.1937937161608731e-6
1819,19,4,10,128.75732931878443,83.33045517241379,55.28619000000002,4.986058196612457,80.18858005353935,130.62052482998206,9630.19069500628,1305.843145054591,4786.7403818562825,-9.999499326240251e-9,-9.99984097122218e-9,14743.638099999998,10027.883606775085,979.1361218971549,908.1502332857847,652.7574145981032,652.7574146081032,652.7574145981032,94.43091231745042,489.56806094857745,1283.4319390614226,558.3265022906528,-9.999991325650369e-9,-850504.8652617944,-115327.51357806507,0.0,-2.0681888926582804e-8,-6.511546536768547e-8,-5.8715063956999425e6,-25139.61240775713,-353.9397725564122,-14412.069110440752,-12861.878056723217,-1.1937937161608731e-6
