Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
2544,24,2,14,28.470846018097994,135.8935833872498,92.35523494889351,8.481100401376962,121.58587220908011,180.15225643451691,9067.082721230154,11698.880000000001,3037.797223382722,1569.9999998635076,270.66663943901625,0.0,-229006.8944724726,-4.0885575336145717e6,-2307.0559906962553,-74833.16675873127,0.0
2545,1,3,14,64.0064141965461,147.1668183166316,109.26508464871173,9.98979902304848,121.58587321030026,202.6987248925799,11546.657988324783,11161.060000000001,20.401955759003428,1569.9999999999843,270.666639105929,0.0,-345198.44135778863,-3.7822807353544766e6,-0.10405993076543041,-110231.1220167574,0.0
2546,2,3,14,64.0064141965461,148.84576021238314,111.7834974834305,9.994772718644901,121.5858732135893,206.05660868056037,11915.945373333809,11520.4,10.454570746319218,1569.9999999999864,270.66663910501694,0.0,-364894.5822116139,-3.8795377838492612e6,-0.027324470365357456,-115502.99956310756,0.0
2547,3,3,14,64.0064141965461,150.7703333133183,114.67035712553387,10.591173262674722,121.58587321702363,209.90575487872331,12339.259944091675,11933.26,0.0,1569.9999999999882,270.6666391040729,0.0,-388235.002207848,-3.9894450445010113e6,0.0,-121546.15909340873,0.0
2548,4,3,14,64.0064141965461,153.49154974863904,118.75218177866846,9.999869107634211,121.58587321695416,215.34818775009208,12937.798170801585,12532.060000000001,0.2617731005170066,1569.99999999999,270.66663910384233,0.0,-422627.1216682212,-4.1461490292525715e6,-1.713281138782108e-5,-130090.77870150469,0.0
2549,5,3,14,64.0064141965461,155.86553532331305,122.3131601422975,9.998961092669123,121.58587321634752,220.09615890076103,13459.962118603835,13056.039999999999,2.0778254560928557,1569.9999999999911,270.66663910375576,0.0,-453961.0260346364,-4.279958110595411e6,-0.0010793284421239946,-137545.0934082297,0.0
2550,6,3,14,64.0064141965461,158.21152101436837,125.83213868757615,9.994093743771687,121.58587321311826,224.78813028746958,13975.967424392053,13581.78,11.812519687408791,1569.999999999992,270.6666391042141,0.0,-486143.12894902984,-4.411514993156971e6,-0.03488386263447296,-144911.48848618052,0.0
2551,7,3,14,64.0064141965461,160.28667050041213,128.94486297184855,9.963220836460774,121.5858731926657,228.93842928537924,14432.401649679168,14099.960000000001,73.55829441040757,1569.9999999999927,270.666639108372,0.0,-515618.89435893274,-4.54143326740901e6,-1.3527068706448517,-151427.45791792902,0.0
2552,8,3,14,64.0064141965461,161.66845887459377,131.01754559248462,9.93002468945598,121.58587317067574,231.70200606134188,14736.329399073833,14470.28,139.9505450234022,1569.9999999999932,270.66663911290476,0.0,-535771.3738848991,-4.634015878818143e6,-4.896544085730511,-155766.27346159122,0.0
2553,9,3,14,64.0064141965461,161.1267461509087,130.2049767150074,9.813699107722773,121.5858730936395,230.6185807084381,14617.178387836057,14583.779999999999,372.6015562883887,1569.999999999993,270.66663912962326,0.0,-527820.8002326151,-4.6761946831588e6,-34.70802246327776,-154065.29567635068,0.0
2554,10,3,14,64.0064141965461,149.27520891040444,112.42767032275795,8.68888192816106,121.5858732923315,206.9155059404463,12010.403636798592,14226.64,2622.236307391193,1569.9999999999868,270.6666391698875,0.0,-370032.14348531934,-4.736638734794884e6,-1719.0305983026556,-116851.4682319283,0.0
2555,11,3,14,64.0064141965461,134.85198297051906,91.37243581132036,6.751600862315359,121.00627503788733,178.84180854625535,8837.979451240672,13561.78,6496.800524265154,886.4999988597151,1181.9999984789986,0.0,-219681.95489863632,-4.7221547284295745e6,-10552.096957709058,83354.41369123536,0.0
