Gen_VRES_Solar_elec,Demand_GC_Elec_01_elec,Gen_VRES_Wind_H2_GC,Offtaker_Grey_elec,jy,Cons_Elec_01_H2,Gen_Conv_01_elec,Gen_Conv_01_H2_GC,Offtaker_Green_H2_GC,Gen_Conv_01_EP,Demand_GC_Elec_01_elec_GC,Offtaker_Import_EP,Gen_VRES_Wind_elec,Gen_VRES_Solar_elec_GC,Demand_GC_Elec_01_EP,Offtaker_Grey_H2_GC,Offtaker_Green_EP,Gen_Conv_01_elec_GC,Offtaker_Import_H2_GC,Gen_VRES_Wind_EP,Gen_VRES_Wind_elec_GC,Demand_GC_Elec_01_H2,Prod_H2_Green_H2,Cons_Elec_01_EP,Offtaker_Grey_elec_GC,Gen_VRES_Solar_H2_GC,Offtaker_Import_elec,Demand_GC_Elec_01_H2_GC,Time,Gen_VRES_Solar_H2,jd,Gen_VRES_Wind_H2,Gen_Conv_01_H2,Prod_H2_Green_H2_GC,Offtaker_Green_H2,Offtaker_Grey_EP,Offtaker_Green_elec,Offtaker_Grey_H2,Offtaker_Green_elec_GC,Offtaker_Import_elec_GC,Cons_Elec_01_elec,Cons_Elec_01_H2_GC,Prod_H2_Green_elec_GC,jh,Offtaker_Import_H2,Gen_VRES_Solar_EP,Cons_Elec_01_elec_GC,Prod_H2_Green_EP,Prod_H2_Green_elec
2246.8148862654243,0.0,0.0,0.0,1,0.0,-9.731547240989321e-9,0.0,-1614.4406739887265,0.0,-11363.166554729856,-9.835599231398963e-9,15223.17571924539,2246.8148862654243,0.0,-374.77966302175105,1491.9152527505644,0.0,0.0,0.0,15223.17571924539,0.0,1989.2203370007526,0.0,0.0,0.0,0.0,0.0,12,0.0,1,0.0,0.0,1989.2203370104776,-1989.2203370007526,281.08474725927107,0.0,0.0,0.0,0.0,-14486.160099999954,0.0,-6106.824050780956,12,0.0,0.0,0.0,0.0,-2983.8305055011288
5820.895444663109,0.0,0.0,0.0,1,0.0,2040.5437257509377,0.0,6.569569405690555e-9,0.0,-11363.166554707324,-9.824377987381433e-9,7829.540929590429,5820.895444663109,0.0,-1182.0000000193356,886.5000000022656,0.0,0.0,0.0,7829.540929590429,0.0,1182.0000000030207,0.0,0.0,0.0,0.0,0.0,13,0.0,1,0.0,0.0,1182.0000000127661,-1182.0000000030207,886.5000000075587,0.0,0.0,0.0,0.0,-13917.980099999944,0.0,-2287.2698195462135,13,0.0,0.0,0.0,0.0,-1773.000000004531
8438.322052660478,0.0,0.0,0.0,1,0.0,-9.731547240989015e-9,0.0,-1614.4406739887265,0.0,-11363.166554704125,-9.835599231398963e-9,8112.548552850335,8438.322052660478,0.0,-374.77966302175116,1491.9152527505644,0.0,0.0,0.0,8112.548552850335,0.0,1989.2203370007526,0.0,0.0,0.0,0.0,0.0,14,0.0,1,0.0,0.0,1989.2203370104776,-1989.2203370007526,281.0847472592711,0.0,0.0,0.0,0.0,-13567.040099999953,0.0,-5187.70405080669,14,0.0,0.0,0.0,0.0,-2983.8305055011288
8893.357858371066,0.0,0.0,0.0,1,0.0,-9.731547240989179e-9,0.0,-1614.4406739887268,0.0,-11363.166554709383,-9.835599231398963e-9,7765.212747139752,8893.357858371066,0.0,-374.77966302175093,1491.9152527505644,0.0,0.0,0.0,7765.212747139752,0.0,1989.2203370007526,0.0,0.0,0.0,0.0,0.0,15,0.0,1,0.0,0.0,1989.2203370104776,-1989.2203370007526,281.08474725927096,0.0,0.0,0.0,0.0,-13674.740099999955,0.0,-5295.404050801433,15,0.0,0.0,0.0,0.0,-2983.8305055011288
8046.5256973445585,0.0,0.0,0.0,1,0.0,3374.42503152314,0.0,8.630655614479872e-9,0.0,-11363.166554701635,-9.804269830194992e-9,4631.4893711349205,8046.5256973445585,0.0,-1182.0000000201865,886.5000000013387,0.0,0.0,0.0,4631.4893711349205,0.0,1182.0000000017849,0.0,0.0,0.0,0.0,0.0,16,0.0,1,0.0,0.0,1182.0000000115558,-1182.0000000017849,886.5000000084657,0.0,0.0,0.0,0.0,-14279.440099999942,0.0,-1314.8485137778434,16,0.0,0.0,0.0,0.0,-1773.0000000026773
10306.389161115912,0.0,0.0,0.0,1,0.0,1433.9594435249808,0.0,-3.2137135166433983e-9,0.0,-11363.166554733943,-9.832826194928142e-9,5265.831495371016,10306.389161115912,0.0,-1182.0000000144937,886.5000000059825,0.0,0.0,0.0,5265.831495371016,0.0,1182.0000000079767,0.0,0.0,0.0,0.0,0.0,17,0.0,1,0.0,0.0,1182.0000000177074,-1182.0000000079767,886.5000000038502,0.0,0.0,0.0,0.0,-15233.180099999943,0.0,-4209.054101752985,17,0.0,0.0,0.0,0.0,-1773.000000011965
8971.01100950707,0.0,0.0,0.0,1,0.0,1868.503328961821,0.0,5.657736706050758e-9,0.0,-11363.166554740808,-9.826859593747281e-9,7303.065761536296,8971.01100950707,0.0,-1182.000000018896,886.5000000026224,0.0,0.0,0.0,7303.065761536296,0.0,1182.0000000034966,0.0,0.0,0.0,0.0,0.0,18,0.0,1,0.0,0.0,1182.0000000132382,-1182.0000000034966,886.5000000072046,0.0,0.0,0.0,0.0,-16369.580099999943,0.0,-4910.910216302558,18,0.0,0.0,0.0,0.0,-1773.0000000052448
5546.959026168394,0.0,0.0,0.0,1,0.0,6264.855312296696,0.0,9.14146432197109e-9,0.0,-11363.166554723672,-9.779240107491963e-9,7303.065761536347,5546.959026168394,0.0,-1182.000000019931,886.5000000007482,0.0,0.0,0.0,7303.065761536347,0.0,1182.0000000009975,0.0,0.0,0.0,0.0,0.0,19,0.0,1,0.0,0.0,1182.0000000107893,-1182.0000000009975,886.5000000090312,0.0,0.0,0.0,0.0,-17341.88009999994,0.0,-1486.858232981069,19,0.0,0.0,0.0,0.0,-1773.0000000014966
1609.314570113456,0.0,0.0,0.0,1,0.0,9416.595637822147,0.0,9.389705162348251e-9,0.0,-10103.285191400228,-9.743471049057772e-9,8493.970621310133,1609.314570113456,0.0,-1118.9871528497317,839.2403646228987,0.0,0.0,0.0,8493.970621310133,0.0,1118.9871528305316,0.0,0.0,0.0,0.0,0.0,20,0.0,1,0.0,0.0,1118.987152840342,-1118.9871528305316,933.7596353868448,0.0,0.0,0.0,0.0,-17841.400099999937,0.0,-2.3361304310870254e-8,20,0.0,0.0,0.0,0.0,-1678.4807292457974
9.849823533181507e-9,0.0,0.0,0.0,1,0.0,10664.654307077126,0.0,9.389705162353088e-9,0.0,-7303.065761545871,-9.705708796120196e-9,7303.065761536373,9.849823533181507e-9,0.0,-270.6666457681394,202.99998431170442,0.0,0.0,0.0,7303.065761536373,0.0,270.66664574893923,0.0,0.0,0.0,0.0,0.0,21,0.0,1,0.0,0.0,270.6666457587497,-270.66664574893923,1570.000015698001,0.0,0.0,0.0,0.0,-17561.720099999937,0.0,-3.5227638406299935e-10,21,0.0,0.0,0.0,0.0,-405.9999686234089
