Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Prod_H2_Green_e_in,Prod_H2_Green_q_elec_gc,Prod_H2_Green_h2_out,Prod_H2_Green_q_h2gc,Offtaker_Green_h2_in,Offtaker_Green_q_h2gc,Offtaker_Green_ep,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Prod_H2_Green_obj,Offtaker_Green_obj,Offtaker_Grey_obj,Offtaker_Import_obj
42,18,2,1,25.876611471643248,38.49999999999999,60.74999999999999,22.579117575697175,33.86867636354577,106.96645876358562,3.8321699312061392,77.75529104392615,0.0,49.50000004815401,43.19999958942623,32.08746092697828,38.38746138570606,21.39164061798552,21.39164061798552,21.39164061798552,21.39164061798552,16.04373046348914,28.95626953651086,0.0,0.0,-234.0655577981911,-4749.224563804519,0.0,-22231.68752103126,-1073.9901136265935,142.2484510845611,420.2138007259823,-549.1978921115033,0.0
43,19,2,1,25.876611471643248,38.49999999999999,60.74999999999999,22.579117575697175,33.86867636354577,106.96645876358562,0.0,87.47470242441692,0.0,46.75000004523399,43.19999959037132,40.72470237918293,44.2747028340456,27.149801586121953,27.149801586121953,27.149801586121953,27.149801586121953,20.362351189591465,24.637648810408535,0.0,0.0,0.0,-5342.877634280083,0.0,-21028.73439481814,-1073.9901136429442,80.1558776641225,533.3261490878108,-467.2889501943182,0.0
44,20,2,1,25.876611471643248,38.49999999999999,60.74999999999999,22.579117575697175,33.86867636354577,106.96645876358562,0.0,93.30634925271139,0.0,44.00000004231221,43.19999959077186,49.306349210399176,50.106349661939525,32.87089947359945,32.87089947359945,32.87089947359945,5.741798947198902,24.653174605199588,20.346825394800412,27.12910052640055,0.0,0.0,-5699.0694765654225,0.0,-19822.000018596216,-1073.9901136498738,18.06330425594024,-273.11628925376726,532.9195009424006,0.0
45,21,2,1,25.876611471643248,38.49999999999999,60.74999999999999,22.579117575697175,33.86867636354577,106.96645876358562,0.0,87.47470242441692,0.0,41.250000039389455,43.19999959011049,46.22470238502746,44.27470283430643,30.816468256684974,30.816468256684974,30.816468256684974,30.816468256684974,23.11235119251373,21.88764880748627,0.0,0.0,0.0,-5342.877634280083,0.0,-18611.484392365826,-1073.9901136384321,-44.029269128286614,605.3535342308237,-415.13118853903234,0.0
46,22,2,1,25.876611471643248,38.49999999999999,60.74999999999999,22.579117575697175,33.86867636354577,106.96645876358562,0.0,81.64305559612247,0.0,35.750000033542364,43.19999958927911,45.8930555625801,38.443056006843356,30.5953703750534,30.5953703750534,30.5953703750534,30.5953703750534,22.94652778129005,22.05347221870995,0.0,0.0,0.0,-4986.685791994745,0.0,-16179.109389880232,-1073.9901136240483,-168.21441590787185,601.0103245241899,-418.27627143004315,0.0
47,23,2,1,25.876611471643248,38.49999999999999,60.74999999999999,22.579117575697175,33.86867636354577,106.96645876358562,0.0,77.75529104392615,0.0,30.25000002769294,43.19999958860455,47.50529101623321,34.5552914553216,31.670194010822136,31.670194010822136,31.670194010822136,3.340388021644273,23.7526455081166,21.2473544918834,28.329805989177864,0.0,0.0,-4749.224563804519,0.0,-13731.609387361437,-1073.9901136123776,-292.3995626910498,-337.3690507220258,556.5059576839135,0.0
48,24,2,1,25.876611471643248,38.49999999999999,60.74999999999999,22.579117575697175,33.86867636354577,106.96645876358562,0.0,73.86752649172985,0.0,28.60000002593764,43.19999958822905,45.26752646579221,30.6675269035008,30.178350977194803,30.178350977194803,30.178350977194803,0.3567019543896066,22.6337632328961,22.3662367671039,29.821649022805197,0.0,0.0,-4511.763335614292,0.0,-12994.410011599313,-1073.9901136058816,-329.6551067221052,-417.2013139700184,585.8114720407716,0.0
49,1,3,1,52.1089688986223,60.0,93.0,911.5852608113696,33.86867636354577,149.96645876358562,0.0,15.55105820878523,16.44894181248501,22.00000002127024,15.55105820878523,10.0,0.0,6.666666666666666,6.666666666666666,6.666666666666667,6.666666666666666,5.0,40.0,0.0,0.0,0.0,-15109.178945675389,0.0,-9559.000009124933,13363.128448662368,-225.79117575697177,130.95888193904375,-2478.6583505434246,0.0
50,2,3,1,52.1089688986223,60.0,93.0,22.579117575697172,33.86867636354577,149.96645876358562,0.0,19.438822760981537,11.46117725910905,20.900000020090587,19.438822688233834,10.0,7.274770297271971e-8,6.666666666666666,6.666666666666666,6.666666666666667,0.0,5.0,40.0,6.666666666666666,0.0,0.0,-1605.2408303122324,0.0,-9086.797508629912,-564.0969150287954,-225.79117411439285,-94.83229381792808,-2252.867174786453,0.0
51,3,3,1,52.1089688986223,60.0,93.0,22.579117575697172,33.86867636354577,149.96645876358562,0.0,15.55105820878523,13.698941809536505,19.250000018321735,15.551058208777109,10.0,8.121503469737945e-12,6.666666666666666,6.666666666666666,6.666666666666667,6.666666666666666,5.0,40.0,0.0,0.0,0.0,-1284.192664249786,0.0,-8377.359382885215,-461.8578327630165,-225.7911757567884,130.95888193904375,-2478.6583505434246,0.0
52,4,3,1,52.1089688986223,60.0,93.0,22.579117575697172,33.86867636354577,149.96645876358562,0.0,11.663293656588923,17.586706361733054,19.250000018321977,11.663293648788772,10.0,7.800151635706243e-9,6.666666666666666,6.666666666666666,6.666666666666667,6.666666666666666,5.0,40.0,0.0,0.0,0.0,-963.1444981873397,0.0,-8377.35938288532,-354.3285987883703,-225.7911755808512,130.95888193904375,-2478.6583505434246,0.0
53,5,3,1,52.1089688986223,60.0,93.0,22.579117575697172,33.86867636354577,149.96645876358562,3.8321699312061392,9.719411380490769,18.448418709573055,22.000000021269962,13.551581327883602,10.0,-1.6186692874953224e-8,6.666666666666666,6.666666666666666,6.666666666666667,6.666666666666666,5.0,40.0,0.0,0.0,-316.45721131912313,-802.6204151561162,0.0,-9559.000009124815,-407.21628750959917,-225.791176122453,130.95888193904375,-2478.6583505434246,0.0
54,6,3,1,52.1089688986223,60.0,93.0,22.579117575697172,33.86867636354577,149.96645876358562,11.496509793618419,11.663293656588923,11.590196574010385,24.750000024217723,23.159803527373796,10.0,-7.716645455957405e-8,6.666666666666666,6.666666666666666,6.666666666666667,6.666666666666666,5.0,40.0,0.0,0.0,-949.3716339573693,-963.1444981873397,0.0,-10736.859385356103,-656.9953797312924,-225.79117749932226,130.95888193904375,-2478.6583505434246,0.0
55,7,3,1,52.1089688986223,60.0,93.0,22.579117575697172,33.86867636354577,149.96645876358562,22.993019587236837,15.55105820878523,1.7059222340905134,30.25000003011258,38.5440772858014,10.0,5.102206674933996e-7,6.666666666666666,6.666666666666666,6.666666666666667,6.666666666666666,5.0,40.0,0.0,0.0,-1898.7432679147387,-1284.192664249786,0.0,-13081.234387794082,-989.644966418788,-225.7911642366393,130.95888193904375,-2478.6583505434246,0.0
