Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_Conv_CCGT_g,Gen_Conv_Coal_g,Gen_Conv_Biomass_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_Conv_CCGT_obj,Gen_Conv_Coal_obj,Gen_Conv_Biomass_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
2548,4,3,14,60.92382683581003,142.64075081211635,99.66218999999947,9.99988907460262,125.14520367529792,214.9642251248755,9749.429429106709,1800.0,2160.0,12218.7585,0.22186732237647516,1027.553598988901,575.7466525374477,0.0,0.47955380054190755,-103035.60574752369,-114045.07438575025,-4.1798637894664183e6,-1.2304443715027702e-5,39.63479426476988,0.0
2549,5,3,14,60.92382683581003,142.64075080854113,99.66218999999947,9.999119469932808,125.14520367529778,214.96422511803058,10258.75814903127,1800.0,2160.0,12729.639,1.7610719536550312,1027.5598867115225,575.723342431655,0.0,0.5046432795934379,-103035.60574108831,-114045.07437802778,-4.346499599180412e6,-0.0007753331991935397,36.277001553506125,0.0
2550,6,3,14,60.92382683581003,142.64075078938217,99.66218999999947,9.994994111531746,125.14520367529778,214.96422508133998,10763.086426969438,1800.0,2160.0,13242.2355,10.011763445160854,1027.5686519993535,575.6659867418676,0.0,0.5296581329312176,-103035.60570660216,-114045.07433664447,-4.513039334853364e6,-0.025058919356553133,28.484966964344494,0.0
2551,7,3,14,60.92382683581003,142.64075066785958,99.66218999999948,9.968827552525738,125.14520367529784,214.96422484861222,11215.950249710953,1800.0,2160.0,13747.461000000001,62.34472090550165,1027.5830119153059,575.9379426099804,0.0,0.5533068326767534,-103035.6054878615,-114045.07407415562,-4.676541488249727e6,-0.9717214815279931,61.51281696630758,0.0
2552,8,3,14,60.92382683581003,142.64075053718702,99.66218999999947,9.940691914887461,125.14520367529775,214.9642245983717,11520.73242344669,1800.0,2160.0,14108.523,118.61582354833564,1027.5873737441693,575.894331538692,0.0,0.569847833365202,-103035.60525265089,-114045.07379190289,-4.792998163756923e6,-3.5174489596859075,55.74967505314271,0.0
2553,9,3,14,60.92382683581003,142.64075007929463,99.66218999999947,9.842099315770755,125.14520367529764,214.96422372148157,11434.216360677208,1800.0,2160.0,14219.1855,315.8004168408671,1027.5843585462424,575.9126085746329,0.0,0.5708041463512927,-103035.60442844461,-114045.07280285537,-4.828625919409107e6,-24.932626079837064,58.2491685214045,0.0
2554,10,3,14,60.92382683581003,142.64074888615127,99.66218999999947,8.67171782408492,125.14520367529784,214.96422143653882,8745.325115638829,1800.0,2160.0,13870.974,2656.5618241135076,1027.5435275945704,575.6824441481514,0.0,0.4470072251278907,-103035.60228078655,-114045.07022566572,-4.716415981223822e6,-1764.333538852101,32.30902869417332,0.0
2555,11,3,14,60.92382683581003,142.64074927917144,99.66218999999948,6.491691651282916,125.14520367529781,214.9642221891956,3737.121886947978,1800.0,2160.0,13222.7355,7016.614690927834,1027.4994584758747,575.9369138414639,0.0,0.189549918519333,-103035.60298822288,-114045.0710745893,-4.506715933131e6,-12308.227469676982,67.24233812987222,0.0
2556,12,3,14,60.92382683581003,89.84205042716123,72.10630793470403,5.230789256708426,125.14520367529786,214.96420173606964,0.0,1800.0,1291.2545416254723,12542.7705,9538.394706841873,1013.5861690621156,582.2017113254923,0.0,0.0,-7997.945054604468,0.07080722974205855,-4.947865665473102e6,-22745.371113748486,1826.3338661101006,0.0
2557,13,3,14,60.92382683581003,-5.230902717704778,55.33248838563622,5.2307892567067835,125.14520367529767,214.964201735902,0.0,0.0,0.0,11984.8755,9538.394706841882,1013.5861690620418,582.1864043004571,0.0,0.0,0.0,0.0,-5.875582916886178e6,-22745.371113764144,1824.4182655193727,0.0
2558,14,3,14,60.92382683581003,-5.230902716744357,55.332487116263174,5.230789256706784,125.14520367529784,214.96420173590133,0.0,0.0,0.0,11663.0475,9538.394706841878,1013.5861690620418,582.1864224715315,0.0,0.0,0.0,0.0,-5.722498670619198e6,-22745.371113764137,1824.4205395429744,0.0
2559,15,3,14,60.92382683581003,-5.230902717473317,55.33248711975711,5.230789256707195,125.14520367529778,214.964201735902,0.0,0.0,0.0,11752.884,9538.394706841878,1013.5861690620418,582.1864360089644,0.0,0.0,0.0,0.0,-5.765257339956929e6,-22745.371113760222,1824.4222336870444,0.0
2560,16,3,14,60.92382683581003,-5.230902716848939,55.33248648516357,5.230789256706648,125.14520367529786,214.964201735902,0.0,0.0,0.0,12272.598,9538.394706841884,1013.5861690620418,582.1864041854843,0.0,0.0,0.0,0.0,-6.012224939133991e6,-22745.371113765446,1824.4182511311956,0.0
2561,17,3,14,60.92382683581003,-5.230902716626556,55.33248711787408,5.230789256707875,125.14520367529778,214.964201735902,0.0,0.0,0.0,13128.5895,9538.394706841884,1013.5861690620418,582.1863794570501,0.0,0.0,0.0,0.0,-6.417519296656637e6,-22745.37111375374,1824.4151564862113,0.0
2562,18,3,14,60.92382683581003,142.64075004947287,99.66218999999947,5.230789256707748,125.1452036752977,214.96422366437508,1148.2113531368736,1800.0,2160.0,14107.9965,9538.394706841875,1027.3785015455212,576.2793863422739,0.0,0.05735376235679723,-103035.60437476545,-114045.07273844039,-4.7928285909896465e6,-22745.371113754954,118.57643261711928,0.0
2563,19,3,14,60.92382683581003,142.64074989840978,99.66218999999948,7.2911040387450194,125.14520367529784,214.9642233750734,7123.194791865499,1800.0,2160.0,15010.047,5417.790732859237,1027.5307349669029,575.82986538113,0.0,0.35688338661566377,-103035.60410285188,-114045.07241214407,-5.082352251231863e6,-7338.117328903194,51.65262101319968,0.0
2564,20,3,14,60.92382683581003,142.64074986638238,99.66218999999948,9.130172259383007,125.14520367529764,214.96422331374066,11441.810667370386,1800.0,2160.0,15650.6415,1739.6542484588429,1027.5882894200797,575.9092659935043,0.0,0.5736193610355258,-103035.60404520255,-114045.07234296491,-5.286723286348173e6,-756.6002983464823,57.555798751767725,0.0
2565,21,3,14,60.92382683581003,142.64074965440872,99.66218999999947,9.750613426506305,125.14520367529778,214.96422290779986,12517.643569628093,1800.0,2160.0,15485.691,498.77163403460344,1027.6378955329442,575.4504680962978,0.0,0.6302081670146435,-103035.60366364996,-114045.07188510182,-5.234196644659119e6,-62.193663038354316,-3.336601421586238,0.0
