Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
11,11,1,1,64.88673118303063,-4.3185270645566565,-5.3132143512249455,4.318417048034132,82.93018204890507,123.22770772680099,1996.2738231390229,16062.776746541887,9.037205404025777e-11,15075.220000000001,11363.166556830804,281.0847457880084,374.77966105066747,0.0,0.21962310402705043,1.767170839724713,7.187368074432562e-9,-7.318634923013646e6,-32280.384840069077,25511.979070161586,0.0
12,12,1,1,64.88673118303063,-4.318527064598623,-5.313214351250745,4.318417048039073,82.93018204890515,123.22770772680099,2246.8148683504737,15223.17570133044,9.037205404021672e-11,14486.16,11363.166556824164,281.08474578800843,374.7796610506676,0.0,0.24718684176150418,1.6748014160693856,7.187368074433089e-9,-7.043327834590105e6,-32280.384840012935,25511.979070161622,0.0
13,13,1,1,64.88673118303063,89.53001157847643,54.716347389482046,4.318416316618312,89.05641933207468,131.39603115683317,5820.8954328867085,7829.540915303556,2040.5436104336202,13917.980000000001,11363.166556794942,886.4999987687704,1181.999998358348,0.0,-546281.8853181546,-734790.10604156,-16899.632771647972,-5.470775380350498e6,-32280.393151268858,80461.02819822896,0.0
14,14,1,1,64.88673118303063,-4.318527064498683,-5.313214351193019,4.318417048051825,82.9301820489052,123.22770772680099,8438.322034745532,8112.548534935387,9.037205404031971e-11,13567.039999999999,11363.166556798475,281.08474578800843,374.7796610506676,0.0,0.9283542077100719,0.892513764782052,7.187368074432248e-9,-6.612028911473135e6,-32280.384839868035,25511.979070161637,0.0
15,15,1,1,64.88673118303063,-4.318527064553679,-5.3132143512239995,4.3184170480492865,82.93018204890525,123.22770772680167,8893.357840456118,7765.212729224801,9.037205404026284e-11,13674.740000000002,11363.166556803724,281.08474578800843,374.7796610506676,0.0,0.978416141915659,0.8543015603354434,7.187368074432695e-9,-6.662676592206236e6,-32280.384839896877,25511.979070161462,0.0
16,16,1,1,64.88673118303063,101.82466366841686,63.93733657502872,4.318416216838577,98.27740851968021,143.69068340451267,8046.5256810692135,4631.489362679535,3374.4249155404086,14279.44,11363.166556788241,886.499998768729,1181.9999983582868,0.0,-854083.018164489,-491600.5454106047,-49604.85586358671,-5.430842816234662e6,-32280.39428508262,80461.02820040639,0.0
17,17,1,1,64.88673118303063,83.48228114299621,50.18054874249789,4.3184166455907205,84.52062067731013,125.34829962956546,10306.389140272446,5265.831485758919,1433.959328201612,15233.18,11363.166556824277,886.4999987691236,1181.9999983588204,0.0,-904908.1581966353,-462343.6788867446,-6393.255270017005,-6.054827168397632e6,-32280.389413100595,80461.02818725236,0.0
18,18,1,1,64.88673118303063,87.81474571396201,53.42989697880049,4.318416721636679,87.76996892060207,129.68076394264773,8971.01099136296,7303.065748209419,1868.5032136408925,16369.58,11363.166556831811,886.4999987688009,1181.9999983583891,0.0,-826527.6128787849,-672854.5428576355,-13547.119947943254,-6.412345558135143e6,-32280.388548977702,80461.02819724656,0.0
19,19,1,1,64.88673118303063,113.99965529959603,73.06858033221953,4.318416203249015,107.40865227804454,155.8656750817224,5546.959014945717,7303.065748209499,6264.8551963142345,17341.88,11363.16655681017,886.4999987688038,1181.9999983583696,0.0,-656305.4933536983,-864084.6553866301,-108283.685759185,-6.318045655335041e6,-32280.39443950307,80461.02820095138,0.0
20,20,1,1,64.88673118303063,127.27532828285958,83.02533637756551,4.948358808110602,117.3654017485821,169.14134107238132,1609.3145668504105,8493.970605811744,9416.595521843343,17841.4,10103.28519141639,933.7596366273283,1118.9871460640625,0.0,-212789.5057181689,-1.1231041115427506e6,-212374.3189372979,-6.252035515524189e6,-25519.07873159177,69959.3776592924,0.0
21,21,1,1,64.88673118303063,132.53236657108815,90.91089446036551,6.348468122275456,117.365401135073,179.65548086006925,0.0,7303.06574820954,10664.654191101694,17561.72,7303.065761531231,1569.9999999999661,270.66663898232343,0.0,0.0,-1.014255866931855e6,-265158.1589234662,-6.06784617564319e6,-13333.68505403753,-87927.95589226377,0.0
