iter,elec_primal,elec_dual,H2_primal,H2_dual,elec_GC_primal,elec_GC_dual,H2_GC_primal,H2_GC_dual,EP_primal,EP_dual,cap_primal,cap_dual,cap_primal_Green_Coalition,cap_dual_Green_Coalition
18,24323.03809456401,21950.966232673505,0.0,0.0,3502.663964170396,89.41763085937018,9916.731562669062,1425.9598056902823,3235.6215182845226,2606.122224391807,0.0,Inf,0.0,Inf
19,24755.979515338677,22639.32309402839,0.0,0.0,3482.2753779272994,29.9907652573035,8465.03318920735,1482.6025405343505,3863.0000970828787,1900.08152828669,0.0,Inf,0.0,Inf
20,24229.29003464492,21310.22863067265,0.0,0.0,3337.1473220836297,74.78870014203702,7205.962250062644,1566.454000533614,3950.0164973164806,1624.4662743919532,0.0,Inf,0.0,Inf
21,25515.216398196848,22655.351298439266,0.0,0.0,3108.164499145013,123.95500738831778,6029.956341285544,1525.1970171135563,3994.3268744022466,1490.4005054837926,0.0,Inf,0.0,Inf
22,16994.81351277873,19383.93661058605,0.0,0.0,2844.465300744471,144.37428666065935,5053.83676614635,1514.007432815348,3767.39305215885,1478.18697983411,0.0,Inf,0.0,Inf
23,10933.159453018729,18785.56203393588,0.0,0.0,2561.925699514756,161.91648171970613,4267.813803212296,1535.8073592697976,3358.0925196711955,1349.0229195784812,0.0,Inf,0.0,Inf
24,8149.702077401009,17017.649735789782,0.0,0.0,2279.845062975697,170.47381740438243,3623.3841545368464,1557.840195808538,2854.034533930413,1216.5827450232018,0.0,Inf,0.0,Inf
25,7169.833343677145,16883.750383888957,0.0,0.0,2007.776753394846,173.03966055769877,3064.7870569478823,1528.9073526461136,2372.0327643440933,1058.1981593281457,0.0,Inf,0.0,Inf
26,4595.1647753205925,15499.95110335665,0.0,0.0,1751.9793449228098,171.00333442642813,2566.441066507078,1435.265867920678,1978.2723267465624,902.7597129724903,0.0,Inf,0.0,Inf
27,2655.6653374875295,15172.49922098749,0.0,0.0,1516.4922278191468,165.60506789175062,2120.6721278868085,1269.3148747525731,1670.7999247057405,795.7401880401803,0.0,Inf,0.0,Inf
28,2216.216716871932,14436.782082656578,0.0,0.0,1303.4449229427303,157.81992988529527,1624.9253053242821,779.584614825475,1370.4683729110557,786.0574477449004,0.0,Inf,0.0,Inf
29,2299.556832876472,13965.245615870077,0.0,0.0,1113.5546716495392,148.3879879457685,1381.6933352701344,543.8984276916785,1224.6654213977388,798.1246346846714,0.0,Inf,0.0,Inf
30,1407.6284373557924,13754.170709932892,0.0,0.0,946.5291236145642,137.89263091596732,1210.043587290143,474.95482748933506,1165.5505890384538,581.3467593340472,0.0,Inf,0.0,Inf
31,2074.3842515121414,13328.85868956723,0.0,0.0,801.4259291957848,126.7933423680902,1062.2343416114634,452.7624017470176,1065.7310921715775,558.8109526587813,0.0,Inf,0.0,Inf
32,964.0149872887158,13182.455725139953,0.0,0.0,676.7999934679315,115.48223233058972,930.151879164252,436.07128772945634,944.224491343935,764.4339436922758,0.0,Inf,0.0,Inf
33,1054.2609836075212,13139.170563490577,0.0,0.0,571.0343149541916,104.22296115546547,811.2459510574486,418.6866934078989,843.5102810159535,874.4031715457758,0.0,Inf,0.0,Inf
