Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_Conv_CCGT_g,Gen_Conv_Coal_g,Gen_Conv_Biomass_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_Conv_CCGT_obj,Gen_Conv_Coal_obj,Gen_Conv_Biomass_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
26,2,2,1,113.26120028586095,83.27711182292299,128.0,9.178017379633088,94.64266545508288,138.76382594580068,10110.516713302148,0.0,0.0,10248.9465,1639.2774888074878,1022.437886520991,506.25015845092287,0.0,539.3288265703013,0.0,0.0,-4.139669455802517e6,-675.6499344307231,-6326.346894621878,0.0
27,3,2,1,113.26120028586095,83.28453375585529,128.0,9.368066576161384,94.64266545254655,138.76382594257487,10799.213693738597,0.0,0.0,10558.625999999998,1260.2629110118278,1022.4378865176157,389.68857859104236,0.0,495.91519053443335,0.0,0.0,-4.260587027727703e6,-399.3366050745244,-17358.045499727596,0.0
28,4,2,1,113.26120028586095,83.28725323074242,128.0,9.437702597605389,94.64266545136924,138.7638259409328,11347.492179282644,0.0,0.0,10968.0285,1121.3879890190299,1022.4378865157586,344.06913911380434,0.0,490.23369524569716,0.0,0.0,-4.420145221407485e6,-316.1757978228816,-21675.590846932202,0.0
29,5,2,1,113.26120028586095,83.28878467531922,128.0,9.47691735961764,94.64266545048184,138.76382593987074,11915.538668047502,0.0,0.0,11457.868499999999,1043.18209918846,1022.4378865148425,314.2269827368377,0.0,496.5264194471529,0.0,0.0,-4.610518869461261e6,-273.6132238262999,-24499.932068409253,0.0
30,6,2,1,113.26120028586095,83.29378966952056,128.0,9.605077335832537,94.64266544886951,138.7638259362766,12721.322206734807,0.0,0.0,12008.061,787.5930178945906,1022.4378865118342,269.174843118129,0.0,466.43367617670447,0.0,0.0,-4.823591681502576e6,-155.9626424475473,-28763.786642770705,0.0
31,7,2,1,113.26120028586095,83.29823498013899,128.0,9.718906032429661,94.64266544894782,138.76382593370417,13441.448196259078,0.0,0.0,12501.177000000001,560.5847669114794,1022.437886507392,271.1225833708666,0.0,433.0860453352798,0.0,0.0,-5.013913237744031e6,-79.01317606734119,-28579.447310762538,0.0
32,8,2,1,113.26120028586095,83.30198346005481,128.0,9.301030948670515,94.6426654530302,138.76382597130205,12908.026102385193,0.0,0.0,12804.051000000001,1396.8823263128534,1022.437886504267,410.3075412607678,0.0,367.51360630919226,0.0,0.0,-5.130493002863051e6,-488.55745605051743,-15406.611942263407,0.0
33,9,2,1,113.26120028586095,83.3065958403908,128.0,7.7252908796414035,94.64266545981128,138.7638259707473,9779.742434546495,0.0,0.0,12827.919,4549.035796074257,1022.4378865085171,697.6853654535612,0.0,233.3381218451541,0.0,0.0,-5.1396148540555285e6,-5174.301545676601,11791.591336507641,0.0
34,10,2,1,113.26120028586095,83.30511476599,128.0,6.278996445218251,94.64266545981103,138.76382597534106,6635.533593050062,0.0,0.0,12576.076500000001,7441.401562419198,1022.437886516299,697.685365508502,0.0,168.1471180865774,0.0,0.0,-5.042689628694316e6,-13845.867363026577,11791.591336597572,0.0
35,11,2,1,113.26120028586095,83.29823465103249,128.0,5.588962221877708,94.64266545981059,138.76382599114066,1229.3375372336238,0.0,0.0,12203.1,8810.659548311136,1022.4378865292263,697.6853655110203,0.0,39.60989640328626,0.0,0.0,-4.898908750717485e6,-19457.22169871276,11791.591319995729,0.0
36,12,2,1,113.26120028586095,-5.546146077235494,128.0,5.588962221394265,94.64266545980891,138.7638261383299,0.0,0.0,0.0,11719.675500000001,8810.659549087153,1022.437885896763,697.6853655111124,0.0,0.0,0.0,0.0,-5.753148290019174e6,-19457.221702976647,11791.591203062882,0.0
37,13,2,1,113.26120028586095,-5.546146016612133,128.0,5.588962221569765,94.64266545980783,138.7638261382754,0.0,0.0,0.0,11330.787,8810.659548856334,1022.4378858968925,697.6853655111119,0.0,0.0,0.0,0.0,-5.567752281635919e6,-19457.22170142905,11791.591203110962,0.0
38,14,2,1,113.26120028586095,-5.546146049118127,128.0,5.588962221734556,94.64266545980821,138.76382613827857,0.0,0.0,0.0,11136.45,8810.65954859114,1022.437885896919,697.6853655111184,0.0,0.0,0.0,0.0,-5.474963729915576e6,-19457.221699975627,11791.59120310715,0.0
39,15,2,1,113.26120028586095,-5.546145978812804,128.0,5.5889622217028,94.6426654598084,138.76382613826652,0.0,0.0,0.0,11255.887499999999,8810.659548588093,1022.4378858968972,697.6853655111175,0.0,0.0,0.0,0.0,-5.532001790930273e6,-19457.221700255403,11791.591203120712,0.0
40,16,2,1,113.26120028586095,-5.546146053373635,128.0,5.588962221418651,94.64266545980861,138.7638261383569,0.0,0.0,0.0,11753.625,8810.65954912634,1022.4378858967236,697.6853655111169,0.0,0.0,0.0,0.0,-5.769315195105802e6,-19457.22170276202,11791.591203037562,0.0
41,17,2,1,113.26120028586095,-5.546145863719734,128.0,5.58896222112823,94.64266545980814,138.76382613829048,0.0,0.0,0.0,12573.444000000001,8810.659549534364,1022.437885896914,697.6853655111083,0.0,0.0,0.0,0.0,-6.158841786906892e6,-19457.221705323143,11791.591203094256,0.0
42,18,2,1,113.26120028586095,-5.5461459786533895,128.0,5.588962220891093,94.64266545980738,138.76382613828034,0.0,0.0,0.0,13511.413499999999,8810.659549919072,1022.4378858968942,697.6853655111134,0.0,0.0,0.0,0.0,-6.602445153188969e6,-19457.22170741466,11791.591203105607,0.0
43,19,2,1,113.26120028586095,-5.546146099940291,128.0,5.588962220687983,94.64266545980765,138.76382613833417,0.0,0.0,0.0,14261.2275,8810.65955018282,1022.4378858967174,697.6853655111134,0.0,0.0,0.0,0.0,-6.95548033902104e6,-19457.22170920571,11791.591203060147,0.0
44,20,2,1,113.26120028586095,83.28453341825733,128.0,5.58896222212928,94.64266545981013,138.76382599843032,3930.506495792807,0.0,0.0,14538.147,8810.659547908508,1022.4378865379929,697.6853655110175,0.0,180.49575301021105,0.0,0.0,-5.794073562596951e6,-19457.221696493958,11791.591312076867,0.0
45,21,2,1,113.26120028586095,83.29294830438964,128.0,6.595513689297384,94.64266545981086,138.76382598241534,8984.774941920374,0.0,0.0,14290.5165,6806.595450533771,1022.437886522223,697.6853655018176,0.0,336.99076797335874,0.0,0.0,-5.699685420626507e6,-11590.52562702616,11791.591328417562,0.0
46,22,2,1,113.26120028586095,83.29613763814278,128.0,8.180712450300348,94.64266545981008,138.76382597653094,11511.050073169494,0.0,0.0,13646.8605,3636.665568253544,1022.437886513321,697.6853653952529,0.0,395.03085538139567,0.0,0.0,-5.453903477580391e6,-3309.80627691486,11791.591324820125,0.0
