SOLAR,WIND,LOAD_E
0.0,0.053388,0.962751
0.0,0.036018,0.888373
0.0,0.018701,0.80902
0.0,0.009659,0.732111
0.0,0.003252,0.612887
0.0,0.005163,0.624361
0.0,0.004892,0.644946
0.0,0.00463,0.669829
0.0,0.005445,0.701203
0.0,0.008843,0.734955
0.0,0.010085,0.764895
0.0,0.015053,0.784094
0.0,0.014496,0.792876
0.0,0.016811,0.778852
0.001,0.017426,0.758921
0.035,0.012906,0.724885
0.093,0.000517,0.690556
0.158,0.001882,0.672175
0.205,0.0039,0.678833
0.183,0.002862,0.716199
0.15,0.004892,0.779131
0.064,0.006674,0.854926
0.024,0.004134,0.921502
0.0,0.002862,0.957894
0.0,0.001261,0.943211
0.0,0.000144,0.894776
0.0,0.0,0.818296
0.0,0.0,0.741286
0.0,0.0,0.614638
0.0,0.0,0.623495
0.0,0.0,0.644053
0.0,0.0,0.683098
0.0,0.0,0.724753
0.0,0.001156,0.757302
0.0,0.004892,0.787366
0.0,0.002679,0.806369
0.0,0.000579,0.811162
0.0,0.001261,0.796971
0.001,0.001057,0.773321
0.019,0.001613,0.741933
0.06,0.000794,0.713156
0.074,0.001744,0.699725
0.089,0.001261,0.708439
0.113,0.000876,0.743461
0.1,0.000272,0.803455
0.056,0.000876,0.87376
0.019,0.009245,0.933412
0.0,0.021433,0.957582
0.0,0.041307,0.935802
0.0,0.058813,0.884054
0.0,0.060225,0.805953
0.0,0.080677,0.731678
0.0,0.047089,0.609851
0.0,0.06917,0.62458
0.0,0.06917,0.644488
0.0,0.080677,0.672191
0.0,0.109486,0.705162
0.0,0.129687,0.740661
0.0,0.144448,0.773274
0.0,0.141914,0.796049
0.0,0.201663,0.804952
0.0,0.231699,0.794995
0.003,0.304603,0.773837
0.06,0.317352,0.740077
0.141,0.245954,0.708319
0.21,0.19226,0.689703
0.219,0.208098,0.695934
0.201,0.23521,0.730241
0.13,0.476131,0.790862
0.052,0.522741,0.861005
0.019,0.487512,0.918813
0.0,0.49327,0.942652
0.0,0.516755,0.922257
0.0,0.487512,0.855279
0.0,0.464928,0.773739
0.0,0.406442,0.696283
0.0,0.326047,0.5745
0.0,0.339383,0.577927
0.0,0.339383,0.592356
0.0,0.313064,0.617281
0.0,0.313064,0.648421
0.0,0.326047,0.681188
0.0,0.357724,0.712123
0.0,0.272284,0.736498
0.0,0.231699,0.746482
0.0,0.198495,0.738736
0.003,0.075601,0.722271
0.066,0.048307,0.694217
0.157,0.022894,0.660871
0.219,0.034036,0.640654
0.253,0.082418,0.64672
0.191,0.214669,0.680627
0.143,0.084184,0.739642
0.099,0.021433,0.810017
0.027,0.043559,0.872654
0.0,0.084184,0.901689
0.0,0.111619,0.885352
0.0,0.125,0.823634
0.0,0.107381,0.745816
0.0,0.127329,0.675695
0.0,0.120427,0.564471
0.0,0.109486,0.578299
0.0,0.147012,0.598877
0.0,0.157572,0.625477
0.0,0.238755,0.657
0.0,0.249606,0.691735
0.0,0.276193,0.721489
0.0,0.32168,0.741961
0.0,0.362411,0.74779
0.0,0.330452,0.734194
0.0,0.276193,0.711343
0.013,0.242337,0.682099
0.026,0.132074,0.65598
0.039,0.147012,0.641831
0.039,0.177247,0.650214
0.047,0.171468,0.682708
0.029,0.183155,0.737517
0.023,0.186157,0.799111
0.012,0.177247,0.848844
0.0,0.198495,0.867985
0.0,0.228224,0.846403
0.0,0.228224,0.787235
0.0,0.186157,0.71529
0.0,0.168626,0.648071
0.0,0.195361,0.539494
0.0,0.13941,0.55084
0.0,0.113779,0.567875
0.0,0.103251,0.591118
0.0,0.077268,0.619547
0.0,0.063115,0.650146
0.0,0.047089,0.678969
0.0,0.064594,0.6999
0.0,0.107381,0.70951
0.0,0.129687,0.699607
0.003,0.160289,0.681704
0.034,0.154886,0.656622
0.097,0.115967,0.630552
0.182,0.183155,0.615252
0.249,0.245954,0.620078
0.263,0.353079,0.650037
0.215,0.401383,0.705563
0.137,0.448456,0.774817
0.046,0.49327,0.837195
0.0,0.522741,0.86542
0.0,0.572297,0.847953
0.0,0.631683,0.790579
0.0,0.732004,0.717471
0.0,0.910236,0.646148
0.0,1.0,0.535268
0.0,1.0,0.54653
0.0,0.859047,0.565479
0.0,0.553363,0.592875
0.0,0.396365,0.625834
0.0,0.228224,0.659065
0.0,0.149606,0.692307
0.0,0.122699,0.719442
0.0,0.109486,0.732612
0.0,0.152231,0.729161
0.005,0.221377,0.710502
0.057,0.23521,0.679725
0.13,0.264579,0.649892
0.168,0.313064,0.63134
0.172,0.801797,0.638002
0.163,0.901567,0.671414
0.115,1.0,0.728765
0.098,1.0,0.798167
0.026,1.0,0.852915
0.0,1.0,0.875261
0.0,1.0,0.857547
0.0,1.0,0.800492
0.0,1.0,0.728211
0.0,1.0,0.657427
0.0,1.0,0.54657
0.0,1.0,0.556734
0.0,1.0,0.57122
0.0,1.0,0.591765
0.0,1.0,0.618001
0.0,1.0,0.646971
0.0,1.0,0.672424
0.0,1.0,0.68984
0.0,1.0,0.695144
0.0,1.0,0.690373
0.001,1.0,0.675951
0.003,1.0,0.652636
0.013,1.0,0.632007
0.024,1.0,0.621186
0.056,1.0,0.62842
0.09,1.0,0.660478
0.048,1.0,0.71602
0.032,1.0,0.779525
0.009,1.0,0.831035
0.0,1.0,0.852886
0.0,1.0,0.834714
0.0,1.0,0.781044
0.0,1.0,0.709659
0.0,1.0,0.643752
0.0,0.954414,0.536452
0.0,0.817886,0.551039
0.0,0.432378,0.570798
0.0,0.362411,0.598399
0.0,0.453903,0.632348
0.0,0.604807,0.66744
0.0,0.578704,0.701833
0.0,0.362411,0.727565
0.0,0.204864,0.73997
0.0,0.168626,0.737278
0.007,0.183155,0.721653
0.079,0.141914,0.690501
0.183,0.036018,0.660339
0.262,0.056057,0.645397
0.301,0.06917,0.654619
0.294,0.075601,0.6906
0.239,0.089633,0.750465
0.148,0.109486,0.821784
0.059,0.149606,0.885153
0.001,0.218006,0.91444
0.0,0.296296,0.896756
0.0,0.39139,0.842804
0.0,0.522741,0.765843
0.0,0.604807,0.690706
0.0,0.770255,0.57291
0.0,0.990769,0.584916
0.0,1.0,0.600922
0.0,1.0,0.621236
0.0,1.0,0.645896
0.0,1.0,0.670784
0.0,1.0,0.694006
0.0,1.0,0.711206
0.0,1.0,0.716729
0.0,1.0,0.708431
0.001,1.0,0.689492
0.015,1.0,0.662582
0.035,1.0,0.639367
0.08,1.0,0.627702
0.06,1.0,0.638112
0.071,1.0,0.673952
0.064,1.0,0.728899
0.026,1.0,0.792596
0.01,1.0,0.843938
0.0,1.0,0.861933
0.0,1.0,0.841512
0.0,1.0,0.788339
0.0,1.0,0.716297
0.0,1.0,0.64898
0.0,1.0,0.540739
0.0,1.0,0.551448
0.0,1.0,0.567819
0.0,1.0,0.591763
0.0,1.0,0.623915
0.0,1.0,0.655495
0.0,1.0,0.683729
0.0,1.0,0.703129
0.0,1.0,0.70941
0.0,1.0,0.700351
0.001,1.0,0.683238
0.008,1.0,0.660452
0.016,0.826011,0.641847
0.043,0.910236,0.637614
0.049,0.53485,0.655059
0.061,0.272284,0.695893
0.06,0.371906,0.7597
0.047,0.245954,0.832781
0.054,0.288142,0.892797
0.002,0.326047,0.920172
0.0,0.406442,0.898302
0.0,0.559627,0.838584
0.0,0.793832,0.761147
0.0,0.963418,0.687237
0.0,0.817886,0.572543
0.0,0.724509,0.583882
0.0,0.92774,0.600538
0.0,0.638525,0.625074
0.0,0.666384,0.655828
0.0,0.702332,0.689717
0.0,0.559627,0.719382
0.0,0.276193,0.743939
0.0,0.201663,0.753984
0.0,0.19226,0.742025
0.005,0.174341,0.72142
0.034,0.195361,0.692633
0.073,0.109486,0.666961
0.112,0.163036,0.654927
0.099,0.152231,0.664338
0.066,0.180185,0.702488
0.068,0.168626,0.759878
0.035,0.122699,0.825374
0.011,0.13941,0.87985
0.0,0.186157,0.900724
0.0,0.367138,0.877321
0.0,0.817886,0.797308
0.0,0.702332,0.718459
0.0,0.702332,0.649383
0.0,0.702332,0.540365
0.0,0.778061,0.54975
0.0,1.0,0.562683
0.0,1.0,0.580784
0.0,1.0,0.606512
0.0,1.0,0.636479
0.0,1.0,0.663111
0.0,1.0,0.682754
0.0,1.0,0.693013
0.0,1.0,0.685768
0.002,1.0,0.668219
0.018,1.0,0.644391
0.038,1.0,0.624023
0.123,1.0,0.614809
0.155,1.0,0.625738
0.12,1.0,0.661672
0.076,1.0,0.719062
0.032,1.0,0.781888
0.019,1.0,0.831527
0.001,1.0,0.849245
0.0,1.0,0.830144
0.0,1.0,0.773945
0.0,1.0,0.704917
0.0,1.0,0.641779
0.0,1.0,0.534006
0.0,1.0,0.546554
0.0,1.0,0.564811
0.0,1.0,0.590743
0.0,1.0,0.62136
0.0,1.0,0.65513
0.0,1.0,0.683346
0.0,1.0,0.703563
0.0,1.0,0.712358
0.0,1.0,0.704935
0.009,1.0,0.686088
0.064,1.0,0.658528
0.151,1.0,0.634696
0.112,1.0,0.626082
0.056,1.0,0.642534
0.092,1.0,0.681036
0.081,1.0,0.74008
0.131,1.0,0.805719
0.068,1.0,0.863965
0.004,1.0,0.886542
0.0,1.0,0.868523
0.0,1.0,0.809815
0.0,1.0,0.740113
0.0,0.884395,0.673625
0.0,0.817886,0.562404
0.0,0.73955,0.575512
0.0,0.504922,0.59395
0.0,0.411544,0.618925
0.0,0.343908,0.650123
0.0,0.326047,0.682188
0.0,0.238755,0.713143
0.0,0.204864,0.735857
0.0,0.242337,0.744977
0.0,0.214669,0.738907
0.013,0.231699,0.72161
0.1,0.330452,0.690495
0.194,0.357724,0.663394
0.264,0.362411,0.651418
0.294,0.381565,0.663801
0.29,0.296296,0.703523
0.203,0.317352,0.764487
0.159,0.228224,0.831344
0.057,0.198495,0.889228
0.005,0.296296,0.914432
0.0,0.245954,0.895715
0.0,0.25702,0.837109
0.0,0.208098,0.762376
0.0,0.163036,0.69454
0.0,0.168626,0.579126
0.0,0.105303,0.591251
0.0,0.099229,0.608129
0.0,0.115967,0.630857
0.0,0.157572,0.65967
0.0,0.228224,0.691422
0.0,0.242337,0.717142
0.0,0.268413,0.735839
0.0,0.362411,0.743289
0.0,0.437694,0.736408
0.005,0.334898,0.716758
0.015,0.317352,0.692812
0.018,0.221377,0.670914
0.032,0.082418,0.658096
0.037,0.165815,0.662284
0.134,0.367138,0.690716
0.146,0.208098,0.749716
0.07,0.07896,0.819991
0.04,0.039133,0.879148
0.003,0.025208,0.905149
0.0,0.012404,0.887662
0.0,0.003053,0.832397
0.0,0.000794,0.756382
0.0,4.0e-6,0.684477
0.0,0.0,0.57072
0.0,0.000963,0.586608
0.0,0.015625,0.608746
0.0,0.023649,0.633604
0.0,0.031201,0.660345
0.0,0.026012,0.689051
0.0,0.063115,0.712269
0.0,0.132074,0.726707
0.0,0.19226,0.729068
0.0,0.238755,0.709115
0.002,0.231699,0.687752
0.028,0.221377,0.661701
0.06,0.238755,0.637778
0.067,0.284121,0.626898
0.08,0.357724,0.636549
0.053,0.284121,0.672304
0.016,0.268413,0.731466
0.017,0.253295,0.796341
0.011,0.253295,0.846921
0.001,0.253295,0.866019
0.0,0.268413,0.844486
0.0,0.32168,0.788295
0.0,0.381565,0.717967
0.0,0.401383,0.650485
0.0,0.300431,0.541767
0.0,0.343908,0.552496
0.0,0.476131,0.569572
0.0,0.522741,0.592174
0.0,0.464928,0.619911
0.0,0.39139,0.64975
0.0,0.343908,0.676937
0.0,0.334898,0.696144
0.0,0.296296,0.703193
0.0,0.353079,0.69421
0.005,0.448456,0.677248
0.026,0.522741,0.653888
0.104,0.268413,0.631718
