Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Prod_H2_Green_e_in,Prod_H2_Green_q_elec_gc,Prod_H2_Green_h2_out,Prod_H2_Green_q_h2gc,Offtaker_Green_h2_in,Offtaker_Green_q_h2gc,Offtaker_Green_ep,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Prod_H2_Green_obj,Offtaker_Green_obj,Offtaker_Grey_obj,Offtaker_Import_obj
820,4,3,5,1.0,138.22958141954317,86.71627327741884,7.646086041004964,130.68138402079956,182.92637792438506,0.0,4707.828998069284,9580.89097677753,12515.72,4707.829006818502,1773.000011487647,2.9763094801325135e-7,1182.0000076584313,1182.0000076552597,1181.999999176045,6.897943578421163e-8,886.4999993820338,886.4999991799317,1181.9999988963923,0.0,0.0,-686757.6973834804,-250787.66280419985,-4.332013204337795e6,-5540.910926351389,-8336.983120970981,-49027.598972867534,91169.42177694952,0.0
821,5,3,5,1.0,141.301517269685,89.02022551310527,8.043523233206958,132.98533056525656,185.99830689710308,0.0,3912.9544053870773,10256.570910872604,13051.060000000001,3912.9544126698256,1118.4653508547692,1.4393383961414552e-7,745.6435672365128,745.643567233399,745.6435584729968,6.239369470783899e-8,559.2326688547477,1213.7673312737486,745.6435542053005,0.0,0.0,-584380.3341585026,-281257.3068911559,-4.468482711117806e6,-3827.801339000758,-5259.232987964599,-30928.17980631649,8768.232502560568,0.0
822,6,3,5,1.0,147.27430378668163,97.97940694915525,8.775040328506952,132.98533056490882,197.94394049726205,0.0,2449.919852817873,11570.300095393046,13614.22,2449.9198574188317,405.99998013752685,9.732060198871232e-8,270.66665342501784,270.6666534219041,270.66665007282984,6.242737835846395e-8,202.99998755462235,1569.9999999980703,270.6666403914034,0.0,0.0,-382308.3861670085,-346440.8077737258,-4.5704014951407835e6,-1500.5261967842926,-1909.0881884154296,-11226.859743449313,-99680.65753519052,0.0
823,7,3,5,1.0,149.63699624900562,101.52344564487518,8.77504032833445,132.9853305649122,202.6693255371348,0.0,2449.9198528208135,12089.980095328116,14133.9,2449.919857418783,405.99998007247723,9.73206019840096e-8,270.6666533816515,270.6666533785377,270.6666500398847,6.242737835847454e-8,202.99998752991357,1569.9999999986173,270.6666403480505,0.0,0.0,-388096.7933366023,-374391.74314323906,-4.70228674720368e6,-1500.5261972069056,-1909.0881887151409,-11226.85976486878,-107099.51205359588,0.0
824,8,3,5,1.0,141.30151774850378,89.02022552179275,7.53902084386729,132.9853305649657,185.9983068965507,136.95642065040008,4785.0030358978565,10256.570912958092,14492.039999999999,4921.959465740221,686.4904059972392,3.6894399469951464e-7,457.66027066482616,457.6602706617124,457.6602619003709,6.241534424260612e-8,343.2451964252782,1429.7548037044462,457.66025763204857,0.0,-20384.667413288877,-712202.4290291676,-281257.3118021947,-4.935748723525972e6,-6056.418406919329,-3228.0057853745966,-18983.063293338302,-45614.29440815188,0.0
825,9,3,5,1.0,128.19240421360115,79.18838884443356,5.497168763617434,123.15349923989551,172.8891982354124,958.7420977652313,8047.009075196227,7373.18879401932,14605.939999999999,9005.75118947801,1773.0000118022917,0.0005794271199988967,1182.0000078681944,1182.000007864817,1181.9999993692018,1.0557581796301308e-7,886.4999995269013,886.499999133752,1181.999998842658,0.0,-128173.82164551652,-1.0758012070067863e6,-165702.30807794165,-5.163932581495893e6,-20275.4891413749,-8336.975914834125,-49027.59858240603,91169.42175648795,0.0
826,10,3,5,1.0,115.62604996247286,69.76362101837192,4.702105169620012,113.72873148422075,160.32284105683124,1712.0141931386484,9807.778022535047,4609.187739978574,14355.98,10595.795183280767,1773.000011870405,923.9970726799856,1182.0000079136032,1182.0000079099273,1181.999999415292,7.539266943663555e-7,886.499999561469,886.499999125769,1181.9999988331615,0.0,-206003.5094203321,-1.1801518353967282e6,-90415.15354898066,-5.260447037059238e6,-28067.68963375937,-3992.2427178365906,-49027.598443169336,91169.4219074242,0.0
827,11,3,5,1.0,102.76790474912912,60.12000688724258,4.702107330487715,104.0851813284504,147.46468881126978,2670.7562652672013,10317.172482383723,2745.811180477142,13960.74,10595.795184854365,1773.0000119821486,2392.1336318183207,1182.000007988099,1182.000007984058,1181.9999995081732,0.0002574687434298249,886.4999996311298,886.4999991187124,1181.999998824152,0.0,-287026.20808997843,-1.108786651309269e6,-46220.1337221225,-5.302026174768143e6,-28067.66673764777,2911.031679013846,-49027.571671388825,91169.49758832123,0.0
828,12,3,5,1.0,89.88281332654961,50.45683929791559,4.70210624003485,98.7583457348572,140.36277361805278,4382.794059944708,10188.200054486817,1838.6763341148871,13425.84,10595.795184888022,2983.830509684975,3975.1989841172212,1989.2203397899832,1989.2203397857074,1989.2195360960657,1614.44067869104,1491.9146520720492,281.08474664287894,374.77966218983175,0.0,-414546.2236367744,-963650.082681907,-16684.435569294787,-5.280851254895877e6,-28067.678291862976,-3967.331404249504,68302.91843428017,28907.188410576236,0.0
829,13,3,5,1.0,-4.702213386831499,-20.25768854651706,4.702105730828437,98.75834389041748,140.36230939554028,7722.553322825449,8170.297246861097,5.734660635260697e-9,12909.02,10595.795184216184,2983.8305229299312,5297.055433217052,1989.220348619954,1989.220348615678,1989.2203627596596,1614.4406791927045,1491.9152720697448,281.08474649427944,374.7796619916991,0.0,0.8313792241679039,0.879581545421388,4.5828285987673314e-7,-6.306907469954375e6,-28067.683687309844,-139310.73306371804,-72363.20851813079,28907.318189902777,0.0
