Time;jh;jd;jy;W;Elec_Price;H2_Price;Elec_GC_Price;H2_GC_Price;EP_Price;Gen_VRES_01_g;Gen_Conv_01_g;Cons_Elec_01_d;Demand_GC_Elec_01_d_gc;Prod_H2_Green_e_in;Prod_H2_Green_q_elec_gc;Prod_H2_Green_h2_out;Prod_H2_Green_q_h2gc;Offtaker_Green_h2_in;Offtaker_Green_q_h2gc;Offtaker_Green_ep;Offtaker_Grey_ep;Offtaker_Grey_q_h2gc;Offtaker_Import_ep;Gen_VRES_01_obj;Gen_Conv_01_obj;Cons_Elec_01_obj;Demand_GC_Elec_01_obj;Prod_H2_Green_obj;Offtaker_Green_obj;Offtaker_Grey_obj;Offtaker_Import_obj
101;5;5;1;32.67128653;60.24807631;70.10098221;16.98904278;49.27693789;127.9099194;8.115533237;34.70015941;19.2;4.8;23.69796107;3.370745862;15.79864072;15.79864072;16.44431246;0.014532814;12.33323435;23.51322247;15.63607343;0;-20479.02912;-281.2438301;-272840.4274;-283.9982501;-11552.26092;-11034.13186;3732.553182;0
102;6;5;1;32.67128653;60.42227847;70.86187591;16.95188373;49.25727233;128.3898593;19.47727977;29.33021663;22;5.5;26.93996428;14.06383741;17.95997619;17.95997619;18.85923082;0.157044216;14.14442312;21.63966743;17.75291909;0;-49236.87697;-404.6508416;-312001.3075;-300.6457351;-7752.064906;-12181.60315;8498.234725;0
103;7;5;1;32.67128653;60.23431178;70.38310184;16.84659955;49.27524123;128.0906214;40.57766618;11.16172418;26;6.426163699;25.8103401;34.21300745;17.2068934;17.2068934;17.73854158;0.12216742;13.30390619;22.57840274;17.02166971;0;-102188.0571;-85.44598307;-368039.0335;-324.7647598;4041.870553;-11646.16556;6681.458369;0
104;8;5;1;32.67128653;58.92714779;68.29799373;16.75195845;49.05254269;126.3906285;68.17047919;0;30;6.596717227;38.09520149;61.64318673;25.396801;25.396801;25.57092949;3.374891399;19.17819712;16.58774035;22.11698713;0;-168553.8115;0;-424961.4866;-344.5919682;12197.75473;-12340.16777;21142.68603;0
105;9;5;1;32.67128653;56.41156032;65.12202331;16.6629155;49.23854433;127.1682779;94.14018554;0;32.8;6.757036166;62.34935661;87.45999296;41.56623774;41.56623774;41.59993275;35.53207889;31.19994957;4.871289985;6.328527825;0;-224753.7751;0;-466570.1752;-363.7757025;11295.21958;23176.20767;5856.750803;0
106;10;5;1;32.67128653;-16.59442684;26.71807612;16.86306403;49.33302483;127.4147336;96.66287952;0;34;6.406682063;62.62822203;90.29751821;41.75214802;41.75214802;41.59993275;35.31454283;31.19994957;4.888845396;6.411406329;0;-848.3832821;0;-564403.3525;-321.3533905;-83855.00603;-29511.65379;5954.919393;0
107;11;5;1;32.67128653;-16.56373495;26.84651078;16.85433036;49.33293882;127.4168037;95.46336766;0;32.8;6.411264117;62.62822203;89.09202133;41.75214802;41.75214802;41.59993275;35.31251648;31.19994957;4.888566626;6.413752949;0;-906.3412332;0;-544771.8296;-323.17267;-84656.8615;-29342.57067;5958.602641;0
108;12;5;1;32.67128653;-16.55355571;26.96187081;16.85333938;49.33295866;127.4163062;93.84402651;0;31.2;6.402299953;62.62822203;87.4754022;41.75214802;41.75214802;41.59993275;35.31302976;31.19994957;4.888626045;6.4131611;0;-919.1382489;0;-518594.9555;-323.3968602;-85686.45034;-29184.42486;5957.67911;0
109;13;5;1;32.67128653;-16.54539569;27.04839071;16.85268097;49.33297354;127.4159331;92.62713105;0;30;6.394365717;62.62822203;86.26102505;41.75214802;41.75214802;41.59993275;35.3134147;31.19994957;4.888670609;6.412717229;0;-929.9213214;0;-498935.0393;-323.5480204;-86458.3118;-29065.8157;5956.986487;0
110;14;5;1;32.67128653;-16.5930829;27.13491062;16.86836078;49.33298842;127.41556;91.40510956;0;28.8;6.375591406;62.62822203;85.05364272;41.75214802;41.75214802;41.59993275;35.31379965;31.19994957;4.888715173;6.412273358;0;-822.0685221;0;-479304.7882;-320.3096418;-87295.1405;-28947.20654;5956.293864;0
