Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_CCGT_g,Gen_Conv_Coal_g,Gen_Conv_Biomass_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_CCGT_obj,Gen_Conv_Coal_obj,Gen_Conv_Biomass_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
1635,3,5,9,119.15798049194069,201.9612105302948,144.03819000000004,9.922702288253015,172.754348120966,300.7449501618794,0.0,156.48216681795202,8006.737536683266,1800.0,2160.0,10663.652999999998,156.48850342615222,1043.237197739836,400.9638218644902,0.0,0.0,-33156.0537917124,-80.59343971009366,-209812.4332402449,-242177.26737701576,-3.036040362314479e6,-5.974040303412494,-31606.565397959086,0.0
1636,4,5,9,119.15798049194069,201.96421951479044,144.03819000000004,9.860073842442961,172.75434812096557,300.74503421259783,0.0,283.26774272481117,8281.761449999183,1800.0,2160.0,11066.3865,283.2792134090388,1043.6996439601628,400.83747306845174,0.0,0.0,-60002.98943358172,-108.28144045895897,-209817.8494123371,-242183.7667835263,-3.145097999969259e6,-19.57639366069634,-31673.196214336145,0.0
1637,5,5,9,119.15798049194069,201.96782440764187,144.03819000000007,9.785042270528653,172.7543481209665,300.7451349089731,0.0,435.1623160821878,8622.92292169442,1800.0,2160.0,11560.614000000001,435.17993761032307,1044.2858995692097,400.6438789724588,0.0,0.0,-92146.86790071541,-143.82673318637535,-209824.33821946962,-242191.55335208538,-3.278375196532229e6,-46.19989677556623,-31763.433058812923,0.0
1638,6,5,9,119.15798049194069,201.9642195147915,144.03819000000004,9.860073842442961,172.75434812096643,300.7450342125956,0.0,283.26774272481117,9306.374183406235,1800.0,2160.0,12092.281500000001,283.2792134090388,1044.340777256639,399.98409702730504,0.0,0.0,-60002.98943358202,-121.67793146334589,-209817.84941233895,-242183.76678352858,-3.421153464855296e6,-19.57639366069634,-31882.61445221887,0.0
1639,7,5,9,119.15798049194069,201.96650745937973,144.03819000000004,9.812452987714297,172.75434812096566,300.74509812232543,0.0,379.6718194004985,9693.611675935153,1800.0,2160.0,12576.700499999999,379.6871938873091,1044.7298278499898,399.83903729300425,0.0,0.0,-80406.5032236944,-148.9193869268056,-209821.96771259778,-242188.70874383915,-3.550561230318989e6,-35.16860751620288,-31945.359822965867,0.0
1640,8,5,9,119.15798049194069,201.97166330876829,144.03819000000004,9.705140093767437,172.75434812096645,300.74524214195856,0.0,596.9169846813271,9791.62325861322,1800.0,2160.0,12893.634,596.941156329687,1045.5689592290066,399.5694983998093,0.0,0.0,-126353.47921402371,-200.90923757385463,-209831.24824149717,-242199.84537851848,-3.6348610477680676e6,-86.92932735167324,-32073.213540241297,0.0
1641,9,5,9,119.15798049194069,201.9743695852416,144.03819000000004,9.077851414144174,172.7543481209662,300.74531773705354,1141.9214819998997,710.9477584864551,8572.782307169538,1800.0,2160.0,12929.514,1852.8980297142396,1044.9537035319033,400.81971830815877,0.0,-241005.06498298893,-150047.10344310125,-199.10079151624814,-209836.11953914913,-242205.6909357008,-3.6443611454612e6,-850.339520706304,-31797.819875765766,0.0
1642,10,5,9,119.15798049194069,201.97003046459818,144.03819000000007,7.341095872306456,172.7543481209659,300.7451965313167,4796.059871999899,528.1160055631763,4801.552506229286,1800.0,2160.0,12624.105,5324.197263159674,1042.2101497601604,403.74734981920454,0.0,-1.0038686937875296e6,-110540.55596097541,-90.68037772655953,-209828.309121991,-242196.31843511105,-3.5631515947479326e6,-7069.760955410682,-31026.6462010697,0.0
1643,11,5,9,119.15798049194069,201.9636042595603,144.03819,5.26582379937684,172.8363256156248,300.77483012956543,9059.2299539999,615.0089025561097,174.46379747351105,1800.0,2160.0,12310.5255,9508.64003443315,1023.9316202701739,998.7767817889467,0.0,-1.8773390420217908e6,-127447.9431278572,-2.1737198165646987,-209816.7419529228,-242182.43783222922,-3.479548352083086e6,-22412.018525199775,73586.2390567676,0.0
1644,12,5,9,119.15798049194069,-5.584111491884765,121.15400613227531,5.552284020676019,172.75434812096822,300.7748275628839,13320.330448054592,71.57551557711675,0.0,0.0,0.0,11893.713,8910.925828133168,1023.9316151149786,588.1830361609476,0.0,423.95243382643093,2.2780676612817956,0.0,0.0,0.0,-5.836446808286518e6,-19782.11741773597,2572.5100967007456,0.0
1645,13,5,9,119.15798049194069,-5.6120434417027045,121.15062854817872,5.552241138920435,172.75434812097038,300.7748275628838,13008.747824798933,0.0,0.0,0.0,0.0,11510.557499999999,8911.01983369658,1023.9316151149789,588.1827517987158,0.0,777.9530762368231,0.0,0.0,0.0,0.0,-5.6542603312772075e6,-19782.498807446274,2572.460971890134,0.0
1646,14,5,9,119.15798049194069,-5.611767038134652,121.15058332671178,5.5522049361545855,172.7543481209703,300.7748275628839,12811.31067691935,0.0,0.0,0.0,0.0,11313.12,8911.099383232375,1023.9316151149786,588.1822085487916,0.0,763.06859303698,0.0,0.0,0.0,0.0,-5.560063238746462e6,-19782.820795715765,2572.3671231034677,0.0
1647,15,5,9,119.15798049194069,-5.612134354301253,121.15060929736975,5.552333878059286,172.75434812097055,300.77482756288373,12932.658821586661,0.0,0.0,0.0,0.0,11434.468499999999,8910.828084856723,1023.931615114979,588.1829395000649,0.0,773.3791566057625,0.0,0.0,0.0,0.0,-5.617972186145159e6,-19781.673901987262,2572.493398114457,0.0
1648,16,5,9,119.15798049194069,-5.584111493275433,121.14904927305697,5.552284022213066,172.7543481209687,300.7748275628837,13340.469997698247,97.82646593343468,0.0,0.0,0.0,11940.1035,8910.925824956958,1023.9316151149786,588.1828759794174,0.0,424.5934228101105,3.1135690136300127,0.0,0.0,0.0,-5.8585190296968585e6,-19782.11740406406,2572.482424645452,0.0
1649,17,5,9,119.15798049194069,-5.584111491608218,121.14856386813844,5.5522840209975834,172.75434812096952,300.77482756288384,13877.35950616162,393.74295747001423,0.0,0.0,0.0,12772.9095,8910.925827466306,1023.9316151149786,588.1829162262137,0.0,441.68125183557277,12.531842407021486,0.0,0.0,0.0,-6.253846079351234e6,-19782.117414875705,2572.4893774547963,0.0
1650,18,5,9,119.15798049194069,85.41877321291956,122.67177589206176,5.197141826895416,172.75434812096938,300.7748275629084,13855.289815961614,931.7337705506491,0.0,436.93261663869765,0.0,13725.777,9653.816954862166,1023.9316151150567,588.1834466586495,0.0,-1.2555097648151913e6,-84429.90819194408,0.0,-8.749835130212887,0.0,-5.454953274448732e6,-23066.868213819303,2572.5810119316448,0.0
1651,19,5,9,119.15798049194069,201.9634733258123,144.03819000000004,5.542735405968764,172.7543481209664,300.74501336913,8716.6431569999,251.82657401810476,3028.133989182452,1800.0,2160.0,14487.486,8932.729257772618,1038.4620209015313,407.6525262551785,0.0,-1.8087575743768723e6,-52255.57763241016,-37.332344513968565,-209816.50627217637,-242182.15501533353,-4.0554409444306754e6,-19867.12485057008,-29989.397176269616,0.0
1652,20,5,9,119.15798049194069,201.96215055035668,144.03819000000004,7.619293919463904,172.75434812096645,300.7449764196904,4567.6859279999,196.09054416526286,7504.979236191572,1800.0,2160.0,14768.793,4763.784412671114,1043.0393330299978,401.3773928647589,0.0,-957302.2146746919,-41096.939493028935,-82.59772087167948,-209814.12527635632,-242179.29782034937,-4.1290127463408853e6,-5667.7600350071225,-31516.014261114353,0.0
1653,21,5,9,119.15798049194069,201.97124252317883,144.03819000000004,9.104879494102107,172.75434812096634,300.7452303880414,1218.0375029998997,579.1869051640276,10142.496010406789,1800.0,2160.0,14445.015000000001,1797.247861846034,1045.6693099438107,399.36826942924836,0.0,-257098.63260483104,-122252.52586521361,-203.8407973665744,-209830.49082743618,-242198.93648164524,-4.0442067992462637e6,-801.2284460919909,-32117.667773507652,0.0
1654,22,5,9,119.15798049194069,201.97389635488028,144.03819000000004,9.639626408707265,172.7543481209661,300.7453045181875,38.07095099989962,691.0078804287372,10382.711520974854,1800.0,2160.0,13618.234499999999,729.1068132092021,1046.2444818274284,399.0348938164546,0.0,-8056.3280560486855,-146226.61183492496,-236.22254455601797,-209835.2677244988,-242204.66875812036,-3.8267689779393063e6,-129.85165444518225,-32230.95326707262,0.0
1655,23,5,9,119.15798049194069,201.97904239010148,144.03819000000004,9.551553262028618,172.75434812096654,300.7454482636893,0.0,907.8395161581418,9138.706764838817,1800.0,2160.0,12552.5985,907.8762783547445,1046.0492714511881,400.1244034579021,0.0,0.0,-192035.83360947334,-254.9476432807278,-209844.53058789697,-242215.78419419818,-3.5439777640848225e6,-201.07432130996858,-32024.01035688806,0.0
1656,24,5,9,119.15798049194069,202.00158539156664,144.03819000000004,9.082347406114128,172.75434812096705,300.74607796300677,0.0,1857.7039729802664,7165.14486268682,1800.0,2160.0,11532.182999999999,1857.7791991445881,1047.693546781831,401.5970091627509,0.0,0.0,-392131.4605905511,-361.41394787537865,-209885.1079905342,-242264.4770773629,-3.2703331950424653e6,-841.9600127686717,-31929.263477650937,0.0
1657,1,6,9,43.40317622785392,90.04680854051686,100.01710296367418,6.228789800182963,172.7543481209693,300.77482756303726,0.0,8671.365777796347,0.0,1800.0,1614.8593206456367,10587.992999999999,7601.886556949057,1023.9316151154601,552.1386822695224,0.0,0.0,-834840.9286884113,0.0,-8366.509658644616,-330.5669954098412,-4.200449526790606e6,-14221.142315237608,-3654.30876345688,0.0
1658,2,6,9,43.40317622785392,85.65564809801788,90.1568683303147,6.349102026985985,172.75434812096844,300.77482756302936,0.0,10858.885413634573,0.0,1457.6106349539036,0.0,10818.249,7375.8221112216615,1023.9316151154347,552.1313012497493,0.0,0.0,-999069.0391174981,0.0,-374.460870271796,0.0,-4.336187231336765e6,-13327.686041074528,-3655.5838667062344,0.0
1659,3,6,9,43.40317622785392,88.28459856220915,99.33377105813642,6.254290694438378,172.75434812096907,300.77482756305835,0.0,10858.885413634873,0.0,1800.0,0.0,11166.2265,7571.726511762988,1023.9316151154807,552.1383191858872,0.0,0.0,-1.0265869655702525e6,0.0,-5194.531697690749,0.0,-4.44145165818117e6,-14028.725862044645,-3654.3714877573075,0.0
1660,4,6,9,43.40317622785392,90.0788624129425,99.33277684432635,6.143624479371788,172.7543481209683,300.7748275630372,0.0,10014.703602798307,0.0,1800.0,1315.81417640554,11632.2765,7791.6961274106625,1023.9316151154601,552.1312241743206,0.0,0.0,-963639.6861506727,0.0,-8424.206629010761,-311.5284140519507,-4.599178694891631e6,-14870.074074443539,-3655.597181832243,0.0
1661,5,6,9,43.40317622785392,202.1483422764602,144.03819,5.970721348121216,172.75434812099266,300.7748839578061,0.0,8355.429200510056,1392.513118828146,1800.0,2160.0,12209.7105,8131.867689385201,1023.9317021542771,841.657628733627,0.0,0.0,-1.7389241013916377e6,-274.600034556468,-210149.2703833426,-242581.471948733,-3.450336224632248e6,-16233.7428513259,46361.28193851287,0.0
1662,6,6,9,43.40317622785392,202.1338029098134,144.03819000000001,6.173306846569211,172.7543481209838,300.774874287839,0.0,7746.791237605025,2635.364666329201,1800.0,2160.0,12843.9285,7747.104937236996,1023.9316900609899,784.3652765741568,0.0,0.0,-1.613711692591573e6,-481.3706559209386,-210123.0995233784,-242550.06691677592,-3.6195640138518745e6,-14641.384695094217,36463.79005997471,0.0
1663,7,6,9,43.40317622785392,202.11775851589383,144.03819000000001,6.505184625613381,172.7543481209762,300.77486590460927,0.0,7074.9349445260705,3884.747633842262,1800.0,2160.0,13421.460000000001,7075.221437995898,1023.9316789241104,698.3358212736814,0.0,0.0,-1.475993750661725e6,-647.2521314187907,-210094.21961432314,-242515.41102590962,-3.7728451031247727e6,-12211.903059528682,21601.837251389923,0.0
1664,8,6,9,43.40317622785392,202.1133518884382,144.03819000000004,6.596347283601069,172.75434812097592,300.77486395093985,0.0,6890.384459404691,4499.1743008632975,1800.0,2160.0,13851.3375,6890.663479671417,1023.931676230189,689.4416814532431,0.0,0.0,-1.4380900677020475e6,-729.7978396038525,-210086.28768490299,-242505.89271060543,-3.8863040615633475e6,-11583.11467285519,20065.338185603847,0.0
1665,9,6,9,43.40317622785392,202.11335188846502,144.03819000000001,6.596347283601071,172.7543481209777,300.7748639509376,0.0,6890.384459404691,4685.808800863185,1800.0,2160.0,14037.972,6890.663479671417,1023.9316762301853,687.8796335915587,0.0,0.0,-1.4380900677022324e6,-760.0712734281551,-210086.2876849513,-242505.8927106634,-3.935393603022601e6,-11583.114672855168,19795.48762552871,0.0
1666,10,6,9,43.40317622785392,202.09649274725942,144.03819000000001,5.860326364372932,172.7543481209772,300.7748575896599,2169.65599199972,6184.256904751478,3109.2338419635917,1800.0,2160.0,13924.9305,8354.1633157146,1023.9316671785651,713.2500361711762,0.0,-451194.75866275496,-1.2860583944812664e6,-451.9206707070116,-210055.94123078123,-242469.47696565933,-3.905906022413371e6,-17135.498449378647,24178.342373758962,0.0
1667,11,6,9,43.40317622785392,85.55662770981922,99.33359312909295,5.7991633554928175,172.75434812096967,300.7748275630295,7156.018856999359,6709.064673902073,0.0,1085.8536566284406,0.0,13452.7185,8469.39282208698,1023.9316151154343,552.1350688309367,0.0,-653743.7635594665,-612911.9105926637,0.0,-171.43467387316923,0.0,-5.349170477810199e6,-17645.882030044464,-3654.93300067354,0.0
1668,12,6,9,43.40317622785392,-5.584111492039745,90.16337012624523,5.552284022106664,172.75434812096947,300.77482756294376,7671.182850492464,6689.990113139098,0.0,0.0,0.0,12862.98,8910.925825166732,1023.9316151151652,552.1411479909456,0.0,244.15434152520902,212.92545917854295,0.0,0.0,0.0,-6.296497996339377e6,-19782.11740501059,-3653.8827992354054,0.0
1669,13,6,9,43.40317622785392,-5.584111492059373,90.16157269857953,5.552284022101154,172.75434812096918,300.77482756294347,11274.13615256834,2542.7333110632235,0.0,0.0,0.0,12318.676500000001,8910.925825178567,1023.9316151151652,552.1408851082047,0.0,358.8272297007352,80.92876806962704,0.0,0.0,0.0,-6.038439874621047e6,-19782.11740505958,-3653.928213371837,0.0
1670,14,6,9,43.40317622785392,-5.584111492197431,90.16429430769688,5.552284022229644,172.75434812096833,300.7748275629436,10758.630773690624,2742.475189940941,0.0,0.0,0.0,12002.913,8910.925824913127,1023.931615115165,552.1402165590948,0.0,342.41999784414656,87.2860467452465,0.0,0.0,0.0,-5.888394703816185e6,-19782.11740391668,-3654.0437081380514,0.0
