case,group,is_demand,scenario_year,probability,welfare
green_h2_social_planner,elec_demand,true,15,0.06666666666666667,5.4549528378847374e10
green_h2_social_planner,gc_demand,true,1,0.06666666666666667,3.755759134549302e8
green_h2_social_planner,gc_demand,true,2,0.06666666666666667,3.7663723465757203e8
green_h2_social_planner,gc_demand,true,3,0.06666666666666667,3.7558201191143054e8
green_h2_social_planner,gc_demand,true,4,0.06666666666666667,3.1331196088198465e8
green_h2_social_planner,gc_demand,true,5,0.06666666666666667,3.1420339354232836e8
green_h2_social_planner,gc_demand,true,6,0.06666666666666667,3.143175009865843e8
green_h2_social_planner,gc_demand,true,7,0.06666666666666667,3.406803426326049e8
green_h2_social_planner,gc_demand,true,8,0.06666666666666667,3.420435114413696e8
green_h2_social_planner,gc_demand,true,9,0.06666666666666667,3.41906039028997e8
green_h2_social_planner,gc_demand,true,10,0.06666666666666667,3.55083497941755e8
green_h2_social_planner,gc_demand,true,11,0.06666666666666667,3.54942044589176e8
green_h2_social_planner,gc_demand,true,12,0.06666666666666667,3.542343764000371e8
green_h2_social_planner,gc_demand,true,13,0.06666666666666667,3.7327537425323284e8
green_h2_social_planner,gc_demand,true,14,0.06666666666666667,3.7389380848913777e8
green_h2_social_planner,gc_demand,true,15,0.06666666666666667,3.7266023085784924e8
green_h2_social_planner,green_h2_coalition,false,1,0.06666666666666667,-6.152754617362695e8
green_h2_social_planner,green_h2_coalition,false,2,0.06666666666666667,-6.152758465678614e8
green_h2_social_planner,green_h2_coalition,false,3,0.06666666666666667,-6.152758581315999e8
green_h2_social_planner,green_h2_coalition,false,4,0.06666666666666667,-6.152755439162357e8
green_h2_social_planner,green_h2_coalition,false,5,0.06666666666666667,-6.152756660324769e8
green_h2_social_planner,green_h2_coalition,false,6,0.06666666666666667,-6.152757954362748e8
green_h2_social_planner,green_h2_coalition,false,7,0.06666666666666667,-6.152756378489943e8
green_h2_social_planner,green_h2_coalition,false,8,0.06666666666666667,-6.152758326198888e8
green_h2_social_planner,green_h2_coalition,false,9,0.06666666666666667,-6.152758321418899e8
green_h2_social_planner,green_h2_coalition,false,10,0.06666666666666667,-6.152782423988159e8
green_h2_social_planner,green_h2_coalition,false,11,0.06666666666666667,-6.152782428650856e8
green_h2_social_planner,green_h2_coalition,false,12,0.06666666666666667,-6.152782433053646e8
green_h2_social_planner,green_h2_coalition,false,13,0.06666666666666667,-6.15275309123169e8
green_h2_social_planner,green_h2_coalition,false,14,0.06666666666666667,-6.152757047085099e8
green_h2_social_planner,green_h2_coalition,false,15,0.06666666666666667,-6.152756758681571e8
green_h2_social_planner,offtaker_grey,false,1,0.06666666666666667,-7.721419341824126e8
green_h2_social_planner,offtaker_grey,false,2,0.06666666666666667,-1.3051451422912807e9
green_h2_social_planner,offtaker_grey,false,3,0.06666666666666667,-1.8381468479594154e9
green_h2_social_planner,offtaker_grey,false,4,0.06666666666666667,-7.721422257545689e8
green_h2_social_planner,offtaker_grey,false,5,0.06666666666666667,-1.3051438985671248e9
green_h2_social_planner,offtaker_grey,false,6,0.06666666666666667,-1.8381462321795027e9
green_h2_social_planner,offtaker_grey,false,7,0.06666666666666667,-7.721425370222989e8
green_h2_social_planner,offtaker_grey,false,8,0.06666666666666667,-1.3051449977882495e9
green_h2_social_planner,offtaker_grey,false,9,0.06666666666666667,-1.8381465325391164e9
green_h2_social_planner,offtaker_grey,false,10,0.06666666666666667,-7.721524982915341e8
green_h2_social_planner,offtaker_grey,false,11,0.06666666666666667,-1.3051602751379986e9
green_h2_social_planner,offtaker_grey,false,12,0.06666666666666667,-1.8381680581075854e9
green_h2_social_planner,offtaker_grey,false,13,0.06666666666666667,-7.721413159674134e8
green_h2_social_planner,offtaker_grey,false,14,0.06666666666666667,-1.3051441340278456e9
green_h2_social_planner,offtaker_grey,false,15,0.06666666666666667,-1.8381450781010454e9
green_h2_social_planner,offtaker_import,false,1,0.06666666666666667,0.0
green_h2_social_planner,offtaker_import,false,2,0.06666666666666667,0.0
green_h2_social_planner,offtaker_import,false,3,0.06666666666666667,0.0
green_h2_social_planner,offtaker_import,false,4,0.06666666666666667,0.0
green_h2_social_planner,offtaker_import,false,5,0.06666666666666667,0.0
green_h2_social_planner,offtaker_import,false,6,0.06666666666666667,0.0
green_h2_social_planner,offtaker_import,false,7,0.06666666666666667,0.0
green_h2_social_planner,offtaker_import,false,8,0.06666666666666667,0.0
green_h2_social_planner,offtaker_import,false,9,0.06666666666666667,0.0
green_h2_social_planner,offtaker_import,false,10,0.06666666666666667,0.0
green_h2_social_planner,offtaker_import,false,11,0.06666666666666667,0.0
green_h2_social_planner,offtaker_import,false,12,0.06666666666666667,0.0
